institution;indicator;taux observE 2009;taux attendu 2009;SMR 2009;nombre de cas 2009;taux observE 2010;taux attendu 2010;SMR 2010;nombre de cas 2010
Les HÙpitaux Universitaires de GenËve HUG;A.3.1.F Total des cas avec CCG avec diagnostic et intervention sur les artËres coronaires;NaN;NaN;NaN;1'280;NaN;NaN;NaN;1'165
Les HÙpitaux Universitaires de GenËve HUG;A.3.2.M Cas avec CCG en cas d'infarctus du myocarde (‚ge >19), sans OP du cúur, mortalitE;0.03;0.03;1;429;0.042;0.034;1.2;382
Les HÙpitaux Universitaires de GenËve HUG;A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (‚ge >19), mortalitE;0.181;0.097;1.9;72;0.221;0.118;1.9;68
Les HÙpitaux Universitaires de GenËve HUG;A.3.4.M Cas avec CCG sans infarctus du myocarde sans diagnostic de complications (‚ge >19), mortalitE;0.027;0.006;4.3;679;0.016;0.005;3.3;631
Les HÙpitaux Universitaires de GenËve HUG;A.3.5.P CathEtErisme thErapeutique sans infarctus du myocarde ou diagnostic de complications (‚ge >19), pourcentage;0.348;0.377;NaN;236;0.287;0.381;NaN;181
Les HÙpitaux Universitaires de GenËve HUG;A.3.6.F Cas avec CCG chez l'enfant et l'adolescent (‚ge <20);NaN;NaN;NaN;26;NaN;NaN;NaN;15
Les HÙpitaux Universitaires de GenËve HUG;A.4 Troubles du rythme cardiaque; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;A.4.1.F DP troubles du rythme cardiaque;NaN;NaN;NaN;605;NaN;NaN;NaN;615
Les HÙpitaux Universitaires de GenËve HUG;A.5 Traitement par pacemaker ou dEfibrillateur implantable; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;A.5.1.F Traitement par pacemaker (implantation et changement, dEfibrillateur inclus);NaN;NaN;NaN;237;NaN;NaN;NaN;266
Les HÙpitaux Universitaires de GenËve HUG;A.5.2.F Implantation et changement de dEfibrillateur;NaN;NaN;NaN;63;NaN;NaN;NaN;56
Les HÙpitaux Universitaires de GenËve HUG;A.6 Traitement par ablation; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;A.6.1.F Ablation par cathEter;NaN;NaN;NaN;226;NaN;NaN;NaN;216
Les HÙpitaux Universitaires de GenËve HUG;A.6.2.F Ablation chirurgicale;NaN;NaN;NaN;34;NaN;NaN;NaN;36
Les HÙpitaux Universitaires de GenËve HUG;A.7 OpErations du cúur; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;A.7.1.F Total des OP du cúur;NaN;NaN;NaN;397;NaN;NaN;NaN;385
Les HÙpitaux Universitaires de GenËve HUG;A.7.2.F OP des valves cardiaques;NaN;NaN;NaN;215;NaN;NaN;NaN;216
Les HÙpitaux Universitaires de GenËve HUG;A.7.3.F OP des vaisseaux coronaires;NaN;NaN;NaN;105;NaN;NaN;NaN;81
Les HÙpitaux Universitaires de GenËve HUG;A.7.4.F Autres OP du cúur;NaN;NaN;NaN;167;NaN;NaN;NaN;168
Les HÙpitaux Universitaires de GenËve HUG;A.7.5.F OP combinEe du cúur;NaN;NaN;NaN;82;NaN;NaN;NaN;74
Les HÙpitaux Universitaires de GenËve HUG;A.7.6.F OP du cúur chez l'enfant et l'adolescent (‚ge <20);NaN;NaN;NaN;135;NaN;NaN;NaN;135
Les HÙpitaux Universitaires de GenËve HUG;A.7.7.M Remplacement isolE de valve aortique ‡ cúur ouvert sans autre OP du cúur, mortalitE;0.076;0.032;2.4;66;0.029;0.025;1.2;69
Les HÙpitaux Universitaires de GenËve HUG;A.7.11.M OP des vaisseaux coronaires uniquement, en cas d'infarctus du myocarde (‚ge >19), mortalitE;NaN;NaN;NaN;<10;0.1;0.035;2.8;10
Les HÙpitaux Universitaires de GenËve HUG;A.7.12.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde (‚ge >19), mortalitE;0.035;0.019;1.9;57;0.027;0.009;2.9;37
Les HÙpitaux Universitaires de GenËve HUG;A.7.13.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, ‚ge 20-49, mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;A.7.14.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, ‚ge 50-59, mortalitE;0;0.007;0;14;0.1;0.019;5.2;10
Les HÙpitaux Universitaires de GenËve HUG;A.7.15.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, ‚ge 60-69, mortalitE;0.067;0.016;4.3;15;0;0.005;0;12
Les HÙpitaux Universitaires de GenËve HUG;A.7.16.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, ‚ge 70-79, mortalitE;0.071;0.027;2.6;14;0;0.008;0;13
Les HÙpitaux Universitaires de GenËve HUG;A.7.17.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, ‚ge >79, mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;0
Les HÙpitaux Universitaires de GenËve HUG;A.7.18.P Cas de respiration artificielle >95 h en cas d'OP des vaisseaux coronaires uniquement, sans infarctus du myocarde (‚ge >19), pourcentage;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;B.1 Accident vasculaire cErEbral (attaque cErEbrale); ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;B.1.1.M DP díaccident vasculaire cErEbral, toutes les formes (‚ge >19), mortalitE;0.093;0.115;0.8;721;0.083;0.116;0.7;969
Les HÙpitaux Universitaires de GenËve HUG;B.1.2.M DP díaccident vasculaire cErEbral, toutes les formes, ‚ge 20-44, mortalitE;0.06;0.04;1.5;67;0.039;0.03;1.3;51
Les HÙpitaux Universitaires de GenËve HUG;B.1.3.M DP díaccident vasculaire cErEbral, toutes les formes, ‚ge 45-64, mortalitE;0.099;0.065;1.5;191;0.05;0.061;0.8;280
Les HÙpitaux Universitaires de GenËve HUG;B.1.4.M DP díaccident vasculaire cErEbral, toutes les formes, ‚ge 65-84, mortalitE;0.085;0.116;0.7;353;0.065;0.106;0.6;447
Les HÙpitaux Universitaires de GenËve HUG;B.1.5.M DP díaccident vasculaire cErEbral, toutes les formes, ‚ge >84, mortalitE;0.127;0.246;0.5;110;0.183;0.24;0.8;191
Les HÙpitaux Universitaires de GenËve HUG;B.1.6.P DP d'accident vasculaire cErEbral (‚ge >19) avec traitement en unitE cErEbro≠vasculaire, pourcentage;0.49;0.079;NaN;353;0.472;0.104;NaN;457
Les HÙpitaux Universitaires de GenËve HUG;B.1.7.M Infarctus cErEbral (CIM≠10 I63, ‚ge >19), mortalitE;0.056;0.083;0.7;502;0.039;0.079;0.5;694
Les HÙpitaux Universitaires de GenËve HUG;B.1.8.M Infarctus cErEbral (CIM≠10 I63, ‚ge >19), admissions directes, mortalitE;0.058;0.079;0.7;465;0.038;0.08;0.5;498
Les HÙpitaux Universitaires de GenËve HUG;B.1.9.P Infarctus cErEbral (CIM≠10 I63, ‚ge >19) avec thrombolyse systEmique, pourcentage;0.074;0.076;NaN;37;0.061;0.095;NaN;42
Les HÙpitaux Universitaires de GenËve HUG;B.1.9.M Infarctus cErEbral (CIM≠10 I63, ‚ge >19) avec thrombolyse systEmique, mortalitE;0.162;0.104;1.6;37;0.19;0.119;1.6;42
Les HÙpitaux Universitaires de GenËve HUG;B.1.10.M HEmorragie intracErEbrale (CIM≠10 I61, ‚ge >19), mortalitE;0.261;0.266;1;88;0.212;0.281;0.8;132
Les HÙpitaux Universitaires de GenËve HUG;B.1.11.M HEmorragie sous≠arachnoÔdienne (CIM≠10 I60, ‚ge >19), mortalitE;0.161;0.117;1.4;93;0.151;0.13;1.2;106
Les HÙpitaux Universitaires de GenËve HUG;B.1.12.P Accident vasculaire cErEbral, sans prEcision (CIM≠10 I64, ‚ge >19), pourcentage;0.053;0.138;NaN;38;0.038;0.12;NaN;37
Les HÙpitaux Universitaires de GenËve HUG;B.1.12.M Accident vasculaire cErEbral, sans prEcision (CIM≠10 I64, ‚ge >19), mortalitE;0.026;0.077;0.3;38;0.243;0.141;1.7;37
Les HÙpitaux Universitaires de GenËve HUG;B.2 Accident ischEmique transitoire (AIT); ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;B.2.1.M AIT, mortalitE;0;0.001;0;109;0;0.003;0;111
Les HÙpitaux Universitaires de GenËve HUG;B.2.2.P AIT avec traitement en unitE cErEbro≠vasculaire, pourcentage;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;C REEducation gEriatrique prEcoce; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;C.1 REEducation gEriatrique prEcoce; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;C.1.1.F REEducation gEriatrique prEcoce;NaN;NaN;NaN;0;NaN;NaN;NaN;0
Les HÙpitaux Universitaires de GenËve HUG;D Maladies pulmonaires; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;D.1 Pneumonie; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;D.1.1.M DP de pneumonie, mortalitE;0.023;0.061;0.4;732;0.066;0.061;1.1;976
Les HÙpitaux Universitaires de GenËve HUG;D.1.2.M DP de pneumonie, ‚ge <20, mortalitE;0.012;0.004;3.4;80;0;0.003;0;67
Les HÙpitaux Universitaires de GenËve HUG;D.1.3.M DP de pneumonie, ‚ge 20-44, mortalitE;0;0.006;0;55;0.016;0.007;2.4;63
Les HÙpitaux Universitaires de GenËve HUG;D.1.4.M DP de pneumonie, ‚ge 45-64, mortalitE;0.021;0.034;0.6;142;0.027;0.025;1.1;146
Les HÙpitaux Universitaires de GenËve HUG;D.1.5.M DP de pneumonie, ‚ge 65-84, mortalitE;0.033;0.07;0.5;301;0.069;0.062;1.1;432
Les HÙpitaux Universitaires de GenËve HUG;D.1.6.M DP de pneumonie, ‚ge >84, mortalitE;0.019;0.119;0.2;154;0.108;0.108;1;268
Les HÙpitaux Universitaires de GenËve HUG;D.1.7.M DP de pneumonie, ‚ge 1-19, sans tumeur ni mucoviscidose, admissions directes, mortalitE;0.015;0.004;3.9;65;0;0.003;0;53
Les HÙpitaux Universitaires de GenËve HUG;D.1.8.M DP de pneumonie, ‚ge >19, sans tumeur ni mucoviscidose, admissions directes, mortalitE;0.02;0.055;0.4;545;0.025;0.048;0.5;526
Les HÙpitaux Universitaires de GenËve HUG;D.2 Broncho-pneumopathie chronique obstructive (BPCO); ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;D.2.1.M BPCO (‚ge >19), mortalitE;0;0.038;0;116;0.018;0.032;0.6;166
Les HÙpitaux Universitaires de GenËve HUG;D.2.2.M BPCO (‚ge >19), avec VEF1 <35 %, mortalitE;0;0.079;0;20;0;0.063;0;31
Les HÙpitaux Universitaires de GenËve HUG;D.2.3.M BPCO (‚ge >19), avec VEF1 35-49 %, mortalitE;0;0.03;0;20;0;0.019;0;39
Les HÙpitaux Universitaires de GenËve HUG;D.2.4.M BPCO (‚ge >19), avec VEF1 50-69 %, mortalitE;NaN;NaN;NaN;<10;0;0.009;0;14
Les HÙpitaux Universitaires de GenËve HUG;D.2.5.M BPCO (‚ge >19), avec VEF1 >69%, mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;D.2.6.P BPCO (‚ge >19), avec VEF1 non prEcisE, pourcentage;0.543;0.335;NaN;63;0.319;0.384;NaN;53
Les HÙpitaux Universitaires de GenËve HUG;D.2.6.M BPCO (‚ge >19), avec VEF1 non prEcisE, mortalitE;0;0.045;0;63;0.038;0.036;1;53
Les HÙpitaux Universitaires de GenËve HUG;D.3 Cancer du poumon (carcinome bronchique); ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;D.3.1.F Hospitalisations en cas de cancer du poumon;NaN;NaN;NaN;529;NaN;NaN;NaN;646
Les HÙpitaux Universitaires de GenËve HUG;D.4 OpErations du poumon; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;D.4.1.M Total des rEsections pulmonaires ou bronchiques majeures, mortalitE;0.01;0.028;0.3;104;0.012;0.025;0.5;86
Les HÙpitaux Universitaires de GenËve HUG;D.4.2.P Pneumonectomie en cas de carcinome bronchique, pourcentage;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;D.4.2.M Pneumonectomie en cas de carcinome bronchique, mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;D.4.3.M REsections pulmonaires partielles en cas de carcinome bronchique, mortalitE;0;0.024;0;45;0;0.027;0;35
Les HÙpitaux Universitaires de GenËve HUG;E OpErations des organes abdominaux et de la thyroÔde (chirurgie viscErale); ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;E.1 Ablation de la vEsicule biliaire (cholEcystectomie); ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;E.1.1.M CholEcystectomie en cas de calculs biliaires et cholEcystite, sans tumeur, mortalitE;0;0.003;0;446;0.004;0.002;2.2;476
Les HÙpitaux Universitaires de GenËve HUG;E.1.2.P Laparoscopie avec cholEcystectomie en cas de calculs biliaires et cholEcystite, sans tumeur, pourcentage;0.926;0.931;NaN;413;0.933;0.936;NaN;444
Les HÙpitaux Universitaires de GenËve HUG;E.2 REparations de hernie; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;E.2.1.M Herniotomie sans OP de l'intestin, mortalitE;0;0.003;0;473;0;0.001;0;451
Les HÙpitaux Universitaires de GenËve HUG;E.2.2.M Herniotomie avec OP de l'intestin, mortalitE;0;0.076;0;20;0.125;0.061;2;16
Les HÙpitaux Universitaires de GenËve HUG;E.3 OpErations de la thyroÔde; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;E.3.1.F REsections thyroÔdiennes;NaN;NaN;NaN;220;NaN;NaN;NaN;165
Les HÙpitaux Universitaires de GenËve HUG;E.3.2.P Cas de respiration artificielle >95 h en cas de rEsections thyroÔdiennes, pourcentage;0;0.003;NaN;0;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;E.3.3.F RadiothErapie par iode radioactif;NaN;NaN;NaN;60;NaN;NaN;NaN;45
Les HÙpitaux Universitaires de GenËve HUG;E.4 OpErations majeures du cÙlon et du rectum (opErations colorectales); ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;E.4.1.M Total des rEsections colorectales, mortalitE;0.062;0.06;1;289;0.065;0.052;1.2;294
Les HÙpitaux Universitaires de GenËve HUG;E.4.2.M REsections du cÙlon pour cancer colorectal sans diagnostic compliquant, mortalitE;0.087;0.049;1.8;92;0.04;0.043;0.9;100
Les HÙpitaux Universitaires de GenËve HUG;E.4.3.M REsections du cÙlon pour cancer colorectal avec diagnostic compliquant, mortalitE;0.091;0.175;0.5;11;0.1;0.147;0.7;10
Les HÙpitaux Universitaires de GenËve HUG;E.4.4.M REsections du rectum pour cancer colorectal, mortalitE;0;0.04;0;23;0;0.016;0;43
Les HÙpitaux Universitaires de GenËve HUG;E.4.5.M REsections colorectales pour diverticule sans abcËs/perforation, mortalitE;0;0.008;0;32;0;0.006;0;13
Les HÙpitaux Universitaires de GenËve HUG;E.4.6.M REsections colorectales pour diverticule avec abcËs/perforation, mortalitE;0.034;0.053;0.6;29;0;0.084;0;29
Les HÙpitaux Universitaires de GenËve HUG;E.4.7.M REsections colorectales pour ischEmie intestinale, mortalitE;0.3;0.366;0.8;10;0.429;0.334;1.3;14
Les HÙpitaux Universitaires de GenËve HUG;E.4.8.F REsections du cÙlon pour autre diagnostic;NaN;NaN;NaN;91;NaN;NaN;NaN;85
Les HÙpitaux Universitaires de GenËve HUG;E.4.9.F Interventions colorectales locales pour cancer colorectal;NaN;NaN;NaN;15;NaN;NaN;NaN;12
Les HÙpitaux Universitaires de GenËve HUG;E.4.10.F Interventions colorectales locales, affection autre que cancer colorectal;NaN;NaN;NaN;128;NaN;NaN;NaN;177
Les HÙpitaux Universitaires de GenËve HUG;E.5 OpErations de l'estomac; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;E.5.1.F Total des gastrectomies;NaN;NaN;NaN;53;NaN;NaN;NaN;42
Les HÙpitaux Universitaires de GenËve HUG;E.5.2.M Gastrectomies (sans OP de l'úsophage) en cas de cancer de l'estomac, mortalitE;0.059;0.037;1.6;17;0.071;0.056;1.3;14
Les HÙpitaux Universitaires de GenËve HUG;E.5.3.M Gastrectomies avec OP complexe de l'úsophage, mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;E.6 OpErations de líúsophage; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;E.6.1.M Interventions complexes de líúsophage, mortalitE;0;0.08;0;11;0.071;0.095;0.8;14
Les HÙpitaux Universitaires de GenËve HUG;E.7 OpErations du pancrEas; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;E.7.1.M Total des rEsections du pancrEas (sans transplantation, ‚ge >19), mortalitE;0.163;0.078;2.1;49;0.047;0.087;0.5;43
Les HÙpitaux Universitaires de GenËve HUG;F OpErations de vaisseaux; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;F.1 OpErations des vaisseaux extra≠cr‚niens; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;F.1.1.M OP des vaisseaux extra≠cr‚niens, mortalitE;0;0.007;0;44;0;0.001;0;50
Les HÙpitaux Universitaires de GenËve HUG;F.1.2.M Implantation percutanEe de stents dans des vaisseaux extra≠cr‚niens, mortalitE;0.062;0.021;3;32;0.053;0.035;1.5;38
Les HÙpitaux Universitaires de GenËve HUG;F.1.3.F Autres OP des vaisseaux extra≠cr‚niens en cas d'OP du cúur ou de l'aorte;NaN;NaN;NaN;<10;NaN;NaN;NaN;0
Les HÙpitaux Universitaires de GenËve HUG;F.2 OpErations en cas de dilatation de l'aorte (anEvrisme de l'aorte); ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;F.2.1.F Total des OP de l'aorte;NaN;NaN;NaN;43;NaN;NaN;NaN;37
Les HÙpitaux Universitaires de GenËve HUG;F.2.2.M OP abdominale ‡ ciel ouvert en cas d'anEvrisme de l'aorte sans rupture, mortalitE;0.045;0.045;1;22;0.045;0.054;0.8;22
Les HÙpitaux Universitaires de GenËve HUG;F.2.3.M OP abdominale endovasculaire en cas d'anEvrisme de l'aorte sans rupture, mortalitE;0;0.022;0;13;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;F.2.4.F OP en cas d'anEvrisme de l'aorte thoracique ou thoraco≠abdominale (sans valve aortique);NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;F.2.5.M AnEvrisme de l'aorte avec rupture, mortalitE;0.583;0.432;1.3;24;0.533;0.431;1.2;30
Les HÙpitaux Universitaires de GenËve HUG;F.3 OpErations des artËres du bassin et des jambes; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;F.3.1.F Total des OP des artËres du bassin/des jambes;NaN;NaN;NaN;62;NaN;NaN;NaN;70
Les HÙpitaux Universitaires de GenËve HUG;F.3.2.M OP des artËres du bassin/des jambes en cas de claudication, mortalitE;0;0.008;0;15;0;0.005;0;14
Les HÙpitaux Universitaires de GenËve HUG;F.3.3.M OP des artËres du bassin/des jambes en cas de douleurs au repos, mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;F.3.4.M OP des artËres du bassin/des jambes en cas d'ulcEration ou de gangrËne, mortalitE;NaN;NaN;NaN;0;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;F.3.5.M OP des artËres du bassin/des jambes en cas d'embolie/de thrombose des artËres, mortalitE;0.038;0.075;0.5;26;0.091;0.038;2.4;22
Les HÙpitaux Universitaires de GenËve HUG;F.3.6.M OP des artËres du bassin/des jambes en cas de complications dues ‡ des prothËses/implants, mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;F.3.7.M OP des artËres du bassin/des jambes en cas d'anEvrisme/de dissection, mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;F.3.8.F OP des artËres du bassin/des jambes combinEe ‡ une OP de l'aorte;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;F.3.9.F OP des artËres du bassin/des jambes en cas d'autre diagnostic complexe;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;F.4 Amputations; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;F.4.1.M Amputation non traumatique au niveau du pied, mortalitE;0;0.02;0;33;0.044;0.024;1.9;45
Les HÙpitaux Universitaires de GenËve HUG;F.4.2.M Amputation non traumatique de membre infErieur, mortalitE;0.056;0.123;0.5;36;0.132;0.117;1.1;38
Les HÙpitaux Universitaires de GenËve HUG;G GynEcologie et obstEtrique; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;G.1 Accouchements; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;G.1.1.F Accouchements hospitaliers;NaN;NaN;NaN;3'773;NaN;NaN;NaN;3'884
Les HÙpitaux Universitaires de GenËve HUG;G.1.1.P Accouchements hospitaliers contribuant au dEcËs de la mËre, poucentage;0;0;NaN;0;0;0;NaN;0
Les HÙpitaux Universitaires de GenËve HUG;G.1.2.P Accouchements par voie vaginale avec rupture pErinEale du 3Ëme et 4Ëme degrE, pourcentage;0.018;0.029;NaN;50;0.026;0.031;NaN;74
Les HÙpitaux Universitaires de GenËve HUG;G.1.3.P Accouchements par voie vaginale avec Episiotomie, pourcentage;0.136;0.289;NaN;378;0.121;0.279;NaN;347
Les HÙpitaux Universitaires de GenËve HUG;G.1.4.P CEsariennes, pourcentage;0.263;0.325;NaN;994;0.262;0.326;NaN;1'017
Les HÙpitaux Universitaires de GenËve HUG;G.2 Nouveau≠nEs; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;G.2.1.F Nouveau≠nEs <1250 g;NaN;NaN;NaN;98;NaN;NaN;NaN;45
Les HÙpitaux Universitaires de GenËve HUG;G.2.2.F Nouveau≠nEs <1250 g, transfErE díun autre hÙpital;NaN;NaN;NaN;18;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;G.2.3.F Nouveau≠nEs <500 g;NaN;NaN;NaN;23;NaN;NaN;NaN;12
Les HÙpitaux Universitaires de GenËve HUG;G.2.4.F Nouveau≠nEs 500-749 g;NaN;NaN;NaN;27;NaN;NaN;NaN;12
Les HÙpitaux Universitaires de GenËve HUG;G.2.5.F Nouveau≠nEs 750-999 g;NaN;NaN;NaN;18;NaN;NaN;NaN;<10
Les HÙpitaux Universitaires de GenËve HUG;G.2.6.F Nouveau≠nEs 1000-1249 g;NaN;NaN;NaN;30;NaN;NaN;NaN;15
Les HÙpitaux Universitaires de GenËve HUG;G.2.7.F Nouveau≠nEs 1250-1499 g;NaN;NaN;NaN;16;NaN;NaN;NaN;15
Les HÙpitaux Universitaires de GenËve HUG;G.2.8.F Nouveau≠nEs 1500-2499 g;NaN;NaN;NaN;321;NaN;NaN;NaN;263
Les HÙpitaux Universitaires de GenËve HUG;G.2.9.F Nouveau≠nEs >2499 g ou sans indication de poids;NaN;NaN;NaN;3'619;NaN;NaN;NaN;3'864
Les HÙpitaux Universitaires de GenËve HUG;G.3 Ablation de líutErus pour affections bEnignes (hystErectomie); ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;G.3.1.M HystErectomie pour affections bEnignes, mortalitE;0.004;0.001;2.4;277;0;0;0;264
Les HÙpitaux Universitaires de GenËve HUG;G.3.2.P HystErectomies laparoscopiques/vaginales, sans plastie, pourcentage;0.804;0.73;NaN;213;0.848;0.718;NaN;217
