hospital_indicator,observed_rate_2013,expected_rate_2013,SMR_2013,number_of_cases_2013
HUG G.3 Ablation de líutErus pour affections bEnignes (hystErectomie), , , , 
HUG G.3.1.M,0,0,0,173
HUG G.3.2.P,0.76,0.758,,130
HUG G.3.3.P,0.164,0.129,,12
HUG G.3.4.P,0.513,0.306,,20
HUG G.4 Cancer du sein, , , , 
HUG G.4.1.F,,,,521
HUG G.5 Interventions sur le sein, , , , 
HUG G.5.1.F,,,,455
HUG G.5.2.F,,,,257
HUG G.5.3.P,0.774,0.736,,199
HUG H Maladies des voies urinaires et des organes gEnitaux masculins, , , , 
HUG H.1 Ablation du rein (nEphrectomie et nEphrectomie partielle), , , , 
HUG H.1.1.M,0,0.015,0,35
HUG H.1.2.P,0.457,0.24,,16
HUG H.1.3.M,0,0.003,0,24
HUG H.1.4.P,0.458,0.393,,11
HUG H.1.5.P,0.576,0.391,,19
HUG H.2 Calculs rEnaux, , , , 
HUG H.2.1.F,,,,177
HUG H.2.2.P,0.525,0.481,,93
HUG H.3 OpErations de la vessie, , , , 
HUG H.3.1.F,,,,246
HUG H.3.2.F,,,,197
HUG H.3.3.F,,,,155
HUG H.3.4.P,0.206,0.122,,32
HUG H.3.5.M,0,0.049,0,23
HUG H.3.6.M,,,,9
HUG H.4 REsection prostatique transurEtrale (TURP), , , , 
HUG H.4.1.M,0,0.002,0,198
HUG H.5 Carcinome de la prostate, , , , 
HUG H.5.1.F,,,,289
HUG H.5.2.M,0,0.001,0,57
HUG I Affections orthopEdiques et traumatologiques, , , , 
"HUG I.1 Remplacement de líarticulation, endoprothËse", , , , 
HUG I.1.1.M,0.003,0.003,1.1,340
HUG I.1.2.M,0,0.012,0,63
HUG I.1.3.M,0.004,0.001,5.3,265
HUG I.1.4.M,0.031,0.005,6.3,32
HUG I.1.5.M,0,0.033,0,15
HUG I.1.6.M,,,,7
HUG I.1.7.M,0.027,0.042,0.6,220
HUG I.2 OpErations de la colonne vertEbrale, , , , 
HUG I.2.1.F,,,,563
HUG I.2.2.M,0,0.001,0,214
HUG I.3 Fractures mEtaphysaires de la hanche, , , , 
HUG I.3.1.M,0.031,0.046,0.7,259
HUG I.3.2.M,0,0.003,0,26
HUG I.3.3.M,0,0.011,0,19
HUG I.3.4.M,0.023,0.018,1.3,44
HUG I.3.5.M,0.037,0.042,0.9,54
HUG I.3.6.M,0,0.06,0,75
HUG I.3.7.M,0.122,0.102,1.2,41
HUG I.3.8.M,0.014,0.039,0.4,276
"HUG J Affections complexes, hEtErogËnes (indicateur pour peer review)", , , , 
HUG J.1 Respiration artificielle, , , , 
HUG J.1.1.M,0.218,0.228,1,701
HUG J.1.2.S,152.4,,,701
HUG J.1.3.P,0.51,0.433,,98
HUG J.2 Etats septiques, , , , 
HUG J.2.1.M,0.164,0.142,1.2,554
HUG K Affections de la peau, , , , 
HUG K.1 Affections de la peau, , , , 
HUG K.1.1.F,,,,138
HUG K.1.2.F,,,,75
HUG K.1.3.F,,,,11
HUG L Transplantations, , , , 
HUG L.1 Transplantations cardiaques, , , , 
HUG L.1.1.F,,,,0
HUG L.1.2.F,,,,0
HUG L.1.3.F,,,,0
HUG L.2 Transplantations pulmonaires, , , , 
HUG L.2.1.F,,,,0
HUG L.2.2.F,,,,0
HUG L.3 Transplantations hEpatiques, , , , 
HUG L.3.1.F,,,,35
HUG L.3.2.F,,,,23
HUG L.3.3.F,,,,12
HUG L.3.4.F,,,,0
HUG L.4 Transplantations du pancrEas, , , , 
HUG L.4.1.F,,,,9
HUG L.5 Transplantations rEnales, , , , 
HUG L.5.1.F,,,,34
HUG L.5.2.F,,,,8
HUG L.5.3.F,,,,22
HUG L.5.4.F,,,,3
HUG L.5.5.F,,,,3
HUG L.6 Transplantations/transfusions de cellules souches, , , , 
HUG L.6.1.F,,,,53
HUG L.6.2.F,,,,49
HUG L.6.3.F,,,,0
HUG L.6.4.F,,,,...
HUG L.6.5.F,,,,...
HUG L.6.6.F,,,,-
HUG L.6.7.F,,,,-
HUG Z Informations supplEmentaires, , , , 
HUG Z.1 DurEe de sEjour, , , , 
HUG A.1.1.X,8,,,518
HUG B.1.7.X,16.8,,,656
HUG E.1.1.X,6.4,,,397
HUG E.2.1.X,3.7,,,419
HUG F.1.1.X,11.2,,,46
HUG G.3.1.X,4.3,,,173
HUG H.4.1.X,6.6,,,198
HUG I.1.1.X,7.9,,,340
HUG I.1.3.X,10.1,,,265
HUG Z.1.1.X,2.8,,,157
institution indicator,taux observE 2013,taux attendu 2013,SMR 2013,nombre de cas 2013
Centre Hospitalier Universitaire Vaudois (CHUV) A Maladies cardiaques, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.1 Infarctus du myocarde, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.1.M,0.037,0.057,0.6,700
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.2.M,0.024,0.005,4.7,42
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.3.M,0.016,0.021,0.8,245
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.4.M,0.037,0.06,0.6,321
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.5.M,0.098,0.167,0.6,92
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.6.P,0.879,0.614,,615
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.7.M,0.056,0.076,0.7,377
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.8.M,0.023,0.038,0.6,220
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.9.P,,,,8
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.10.M,0.062,0.069,0.9,336
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.11.M,0.011,0.042,0.3,352
Centre Hospitalier Universitaire Vaudois (CHUV) A.2 Insuffisance cardiaque, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.1.M,0.064,0.085,0.8,590
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.2.M,,,,9
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.3.M,0.029,0.036,0.8,68
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.4.M,0.061,0.066,0.9,279
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.5.M,0.081,0.123,0.7,234
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.6.P,0.416,0.527,,96
Centre Hospitalier Universitaire Vaudois (CHUV) A.3 CathEtErisme cardiaque, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.1.F,,,,1'401
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.2.M,0.028,0.035,0.8,568
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.4.M,0.017,0.014,1.2,475
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.5.M,0.014,0.011,1.3,211
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.5.P,0.304,0.385,,211
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.6.F,,,,38
Centre Hospitalier Universitaire Vaudois (CHUV) A.4 Troubles du rythme cardiaque, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.4.1.F,,,,480
Centre Hospitalier Universitaire Vaudois (CHUV) A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.5.1.F,,,,209
Centre Hospitalier Universitaire Vaudois (CHUV) A.5.2.F,,,,64
Centre Hospitalier Universitaire Vaudois (CHUV) A.6 Traitement par ablation, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.6.1.F,,,,190
Centre Hospitalier Universitaire Vaudois (CHUV) A.6.2.F,,,,53
Centre Hospitalier Universitaire Vaudois (CHUV) A.7 OpErations du cúur, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.1.F,,,,676
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.2.F,,,,370
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.3.F,,,,190
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.4.F,,,,294
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.5.F,,,,158
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.6.F,,,,129
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.7.M,0.032,0.02,1.6,93
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.8.M,0.025,0.06,0.4,40
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.9.M,0.027,0.048,0.6,37
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.10.M,,,,3
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.11.M,0,0.03,0,37
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.12.M,0.051,0.009,5.4,98
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.13.M,,,,7
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.14.M,0,0.002,0,17
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.15.M,0.051,0.009,5.4,39
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.16.M,0.074,0.015,5,27
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.17.M,,,,8
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.18.P,0.286,0.109,,28
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.19.M,,,,2
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.20.M,0.033,0.019,1.8,91
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.21.P,0,0.005,,0
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.22.P,,,,-
Centre Hospitalier Universitaire Vaudois (CHUV) B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.1.M,0.116,0.099,1.2,752
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.2.M,0.043,0.033,1.3,47
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.3.M,0.111,0.054,2.1,190
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.4.M,0.113,0.094,1.2,381
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.5.M,0.157,0.198,0.8,134
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.6.P,0.479,0.241,,360
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.7.M,0.049,0.066,0.7,576
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.8.M,0.044,0.068,0.6,482
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.9.M,0.075,0.102,0.7,107
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.9.P,0.186,0.087,,107
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.10.M,0.347,0.25,1.4,118
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.11.M,0.383,0.17,2.2,47
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.12.M,0,0.105,0,11
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.12.P,0.015,0.075,,11
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.13.M,0.074,0.053,1.4,94
Centre Hospitalier Universitaire Vaudois (CHUV) B.2 Accident ischEmique transitoire (AIT), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) B.2.1.M,0.007,0.003,2.2,148
Centre Hospitalier Universitaire Vaudois (CHUV) B.2.2.P,0.385,0.138,,57
Centre Hospitalier Universitaire Vaudois (CHUV) C REEducation gEriatrique prEcoce, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) C.1 REEducation gEriatrique prEcoce, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) C.1.1.F,,,,0
Centre Hospitalier Universitaire Vaudois (CHUV) C.1.2.P,,,,0
Centre Hospitalier Universitaire Vaudois (CHUV) C.1.3.S,,,,0
Centre Hospitalier Universitaire Vaudois (CHUV) D Maladies pulmonaires, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) D.1 Pneumonie, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.1.M,0.035,0.048,0.7,744
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.2.M,0,0.004,0,96
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.3.M,0,0.007,0,55
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.4.M,0.017,0.028,0.6,120
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.5.M,0.054,0.056,1,314
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.6.M,0.044,0.086,0.5,159
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.7.M,0,0.004,0,75
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.8.M,0.022,0.042,0.5,537
Centre Hospitalier Universitaire Vaudois (CHUV) D.2 Broncho≠pneumopathie chronique obstructive (BPCO), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.1.M,0.02,0.038,0.5,254
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.2.M,0.039,0.064,0.6,77
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.3.M,0.02,0.024,0.8,51
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.4.M,0,0.012,0,36
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.5.M,0,0.029,0,15
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.6.M,0.013,0.04,0.3,75
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.6.P,0.295,0.267,,75
Centre Hospitalier Universitaire Vaudois (CHUV) D.3 Cancer du poumon (carcinome bronchique), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) D.3.1.F,,,,575
Centre Hospitalier Universitaire Vaudois (CHUV) D.4 OpErations du poumon, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) D.4.1.M,0.013,0.023,0.6,233
Centre Hospitalier Universitaire Vaudois (CHUV) D.4.2.M,,,,7
Centre Hospitalier Universitaire Vaudois (CHUV) D.4.2.P,,,,7
Centre Hospitalier Universitaire Vaudois (CHUV) D.4.3.M,0.018,0.025,0.7,114
Centre Hospitalier Universitaire Vaudois (CHUV) D.4.4.P,,,,5
Centre Hospitalier Universitaire Vaudois (CHUV) D.4.5.M,0.057,0.047,1.2,35
Centre Hospitalier Universitaire Vaudois (CHUV) E OpErations des organes abdominaux et de la thyroÔde (chirurgie viscErale), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.1.1.M,0.005,0.002,2.5,221
Centre Hospitalier Universitaire Vaudois (CHUV) E.1.2.P,0.973,0.952,,215
Centre Hospitalier Universitaire Vaudois (CHUV) E.2 REparations de hernie, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.2.1.M,0.005,0.002,2.2,201
Centre Hospitalier Universitaire Vaudois (CHUV) E.2.2.M,0.059,0.071,0.8,17
Centre Hospitalier Universitaire Vaudois (CHUV) E.2.3.P,0,0.223,,0
Centre Hospitalier Universitaire Vaudois (CHUV) E.2.4.P,0.964,0.926,,81
Centre Hospitalier Universitaire Vaudois (CHUV) E.3 OpErations de la thyroÔde, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.3.1.F,,,,100
Centre Hospitalier Universitaire Vaudois (CHUV) E.3.2.P,,,,3
Centre Hospitalier Universitaire Vaudois (CHUV) E.3.3.F,,,,49
Centre Hospitalier Universitaire Vaudois (CHUV) E.4 Maladies du cÙlon et du rectum (opErations colorectales), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.1.M,0.075,0.047,1.6,241
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.2.M,0.057,0.039,1.4,53
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.3.M,,,,9
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.4.M,0.056,0.021,2.7,18
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.5.M,0,0.003,0,13
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.6.M,0.053,0.055,0.9,19
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.7.M,0.36,0.38,0.9,25
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.8.F,,,,82
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.11.F,,,,365
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.12.F,,,,151
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.13.M,0,0.03,0,21
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.14.P,,,,4
Centre Hospitalier Universitaire Vaudois (CHUV) E.5 OpErations de líestomac, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.5.1.F,,,,30
Centre Hospitalier Universitaire Vaudois (CHUV) E.5.2.M,,,,7
Centre Hospitalier Universitaire Vaudois (CHUV) E.5.3.M,0.091,0.111,0.8,11
Centre Hospitalier Universitaire Vaudois (CHUV) E.5.4.F,,,,82
Centre Hospitalier Universitaire Vaudois (CHUV) E.5.5.M,0.048,0.042,1.1,83
Centre Hospitalier Universitaire Vaudois (CHUV) E.6 OpErations de líúsophage, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.6.1.M,0.038,0.051,0.8,26
Centre Hospitalier Universitaire Vaudois (CHUV) E.7 OpErations du pancrEas, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.7.1.M,0.033,0.062,0.5,60
Centre Hospitalier Universitaire Vaudois (CHUV) F Affections des vaisseaux, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) F.1 OpErations des artËres cErEbrales, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) F.1.1.M,0,0.003,0,52
Centre Hospitalier Universitaire Vaudois (CHUV) F.1.2.M,0.067,0.087,0.8,15
Centre Hospitalier Universitaire Vaudois (CHUV) F.1.3.F,,,,3
Centre Hospitalier Universitaire Vaudois (CHUV) F.1.4.F,,,,61
Centre Hospitalier Universitaire Vaudois (CHUV) F.2 Dilatation de líaorte (anEvrisme de líaorte), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) F.2.1.F,,,,125
Centre Hospitalier Universitaire Vaudois (CHUV) F.2.1.F,,,,125
Centre Hospitalier Universitaire Vaudois (CHUV) F.2.2.M,,,,8
Centre Hospitalier Universitaire Vaudois (CHUV) F.2.3.M,0.023,0.015,1.5,43
Centre Hospitalier Universitaire Vaudois (CHUV) F.2.4.F,,,,60
Centre Hospitalier Universitaire Vaudois (CHUV) F.2.5.M,0.5,0.374,1.3,24
Centre Hospitalier Universitaire Vaudois (CHUV) F.3 OpErations des artËres du bassin et des jambes, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.1.F,,,,233
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.2.M,0.023,0.005,4.3,43
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.3.M,,,,6
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.4.M,0.118,0.065,1.8,17
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.5.M,0.033,0.052,0.6,91
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.6.M,0,0.04,0,18
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.7.M,0.043,0.004,12,23
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.8.F,,,,7
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.9.F,,,,28
