hospital_indicator,observed_rate_2018,expected_rate_2018,SMR_2018,number_of_cases_2018
HUG E.5.2.M,0,0.068,0,12
HUG E.5.3.M,0,0.035,0,19
HUG E.5.6.M,0.017,0.014,1.2,121
HUG E.6 OpErations de l'úsophage, , , , 
HUG E.6.1.M,0,0.042,0,22
HUG E.7 OpErations du pancrEas, , , , 
HUG E.7.1.M,0.016,0.054,0.3,62
HUG E.7.2.M,0.028,0.045,0.6,36
HUG E.8 Interventions bariatriques, , , , 
HUG E.8.1.M,0,0,,102
HUG F Affections des vaisseaux, , , , 
HUG F.1 OpErations des artËres cErEbrales, , , , 
HUG F.1.1.M,0,0.008,0,48
HUG F.1.2.M,0,0.029,0,37
HUG F.1.3.F,,,,1
HUG F.1.4.F,,,,83
HUG F.2 Maladies de l'aorte, , , , 
HUG F.2.1.F,,,,59
HUG F.2.7.F,,,,34
HUG F.2.2.M,0,0.018,0,11
HUG F.2.3.M,0.059,0.004,14.7,17
HUG F.2.8.M,,,,1
HUG F.2.9.M,,,,2
HUG F.2.4.F,,,,25
HUG F.2.10.M,,,,4
HUG F.2.11.M,0.083,0.069,1.2,12
HUG F.2.12.M,,,,7
HUG F.2.5.M,0.5,0.421,1.2,24
HUG F.2.6.M,,,,5
HUG F.3 OpErations des artËres du bassin et des jambes, , , , 
HUG F.3.1.M,0.038,0.041,0.9,106
HUG F.3.2.M,,,,6
HUG F.3.3.M,,,,4
HUG F.3.4.M,,,,2
HUG F.3.5.M,0.05,0.053,0.9,40
HUG F.3.6.M,0,0.051,0,16
HUG F.3.7.M,0,0.012,0,14
HUG F.3.8.F,,,,7
HUG F.3.9.F,,,,17
HUG F.4 Amputations, , , , 
HUG F.4.1.M,0.029,0.026,1.1,69
HUG F.4.2.M,0.087,0.103,0.8,23
HUG F.5 Angioplasties transluminales percutanEes (ATP), , , , 
HUG F.5.1.F,,,,246
HUG F.5.4.F,,,,25
HUG F.5.5.F,,,,12
HUG F.5.6.F,,,,30
HUG F.5.7.F,,,,179
HUG F.5.2.F,,,,29
HUG F.5.3.F,,,,14
HUG F.6 Fistule artErio≠veineuse, , , , 
HUG F.6.1.F,,,,14
HUG G GynEcologie et obstEtrique, , , , 
HUG G.1 Accouchements, , , , 
HUG G.1.1.F,,,,4'082
HUG G.1.1.P,0,0,,0
HUG G.1.2.P,0.025,0.029,,74
HUG G.1.3.P,0.132,0.145,,386
HUG G.1.4.P,0.281,0.318,,1'148
HUG G.1.5.P,0.238,0.266,,843
HUG G.1.6.P,0.2,0.237,,481
HUG G.1.7.P,0.318,0.338,,362
HUG G.2 Nouveau≠nEs, , , , 
HUG G.2.1.F,,,,37
HUG G.2.2.F,,,,1
HUG G.2.3.F,,,,2
HUG G.2.4.F,,,,9
HUG G.2.5.F,,,,15
HUG G.2.6.F,,,,11
HUG G.2.7.F,,,,25
HUG G.2.8.F,,,,346
HUG G.2.9.F,,,,3'979
HUG G.3 Ablation de l'utErus pour affections bEnignes (hystErectomie), , , , 
HUG G.3.1.M,0,0,0,179
HUG G.3.2.P,0.826,0.858,,147
HUG G.3.5.P,0.225,0.352,,40
HUG G.3.7.P,0.601,0.506,,107
HUG G.3.3.P,,,,5
HUG G.3.4.P,0.485,0.349,,16
HUG G.4 Tumeurs malignes du sein et des organes gEnitaux fEminins, , , , 
HUG G.4.1.F,,,,375
HUG G.4.2.F,,,,573
HUG G.4.3.F,,,,72
HUG G.4.4.M,0,0.008,0,29
HUG G.4.5.F,,,,93
HUG G.4.6.M,0,0.002,0,43
HUG G.5 Interventions sur le sein, , , , 
HUG G.5.1.F,,,,388
HUG G.5.2.F,,,,265
HUG G.5.3.P,0.694,0.737,,184
HUG G.6 Interventions sur le plancher pelvien chez la femme, , , , 
HUG G.6.1.F,,,,111
HUG G.6.2.F,,,,87
HUG G.6.3.F,,,,16
HUG G.6.4.F,,,,8
HUG H Maladies des voies urinaires et des organes gEnitaux masculins, , , , 
HUG H.1 Ablation du rein (nEphrectomie et nEphrectomie partielle), , , , 
HUG H.1.5.M,0,0,,13
HUG H.1.5.P,0.371,0.392,,13
HUG H.1.6.P,,,,8
HUG H.1.7.M,,,,4
HUG H.1.8.M,0,0.005,0,22
HUG H.1.9.P,,,,1
HUG H.1.10.M,0,0,,16
HUG H.2 Calculs rEnaux, , , , 
HUG H.2.1.F,,,,210
HUG H.2.2.P,0.514,0.498,,108
HUG H.3 OpErations de la vessie, , , , 
HUG H.3.1.F,,,,282
HUG H.3.2.F,,,,258
HUG H.3.3.F,,,,201
HUG H.3.4.P,0.154,0.162,,31
HUG H.3.5.M,0,0.025,0,21
HUG H.3.6.M,,,,7
HUG H.4 REsection prostatique transurEtrale (TURP), , , , 
HUG H.4.2.P,0.084,0.031,,15
HUG H.4.3.M,0,0.001,0,135
HUG H.4.4.M,0,0.004,0,44
HUG H.5 Carcinome de la prostate, , , , 
HUG H.5.1.F,,,,202
HUG H.5.2.M,0,0.001,0,84
"HUG I Maladies des os, des articulations et du tissu conjonctif", , , , 
"HUG I.1 Remplacement de l'articulation, endoprothËse", , , , 
HUG I.1.8.M,0.004,0,8.2,275
HUG I.1.9.M,0.029,0.038,0.8,137
HUG I.1.10.M,0.034,0.04,0.9,88
HUG I.1.11.P,0.047,0.015,,13
HUG I.1.12.M,0,0.003,0,25
HUG I.1.13.M,,,,0
HUG I.1.14.M,0,0.039,0,21
HUG I.1.15.M,0.005,0.001,9.3,198
HUG I.1.16.M,,,,9
HUG I.1.17.P,0.066,0.014,,13
HUG I.1.18.M,0,0.008,0,12
HUG I.1.19.M,,,,1
HUG I.1.20.M,0,0.009,0,13
HUG I.1.21.M,0,0.047,0,16
HUG I.1.22.M,,,,0
HUG I.2 Traitements/opErations de la colonne vertEbrale et de la moelle EpiniËre, , , , 
HUG I.2.3.F,,,,741
HUG I.2.4.F,,,,87
HUG I.2.5.M,0,0.066,0,27
"HUG I.2.6.M Raidissement de la colonne vertEbrale ou remplacement de corps vertEbral en cas de traumatisme (rEparations complexes et OP de la moelle EpiniËre incluses), mortalitE",0.011,0.012,0.9,88
HUG I.2.18.M,,,,5
HUG I.2.7.M,0,0.004,0,43
HUG I.2.8.M,0,0,0,97
HUG I.2.9.M,0,0.001,0,46
HUG I.2.10.M,0.018,0.005,3.6,55
"HUG I.2.11.M Discectomie (sans tumeur, traumatisme, OP complexe de la colonne vertEbrale), mortalitE",0,0,0,199
"HUG I.2.12.M DEcompression de la colonne vertEbrale sans autres interventions ‡ la colonne vertEbrale, mortalitE",0,0.001,0,65
HUG I.2.13.M,0,0.003,0,29
HUG I.2.14.M,0,0.007,0,87
HUG I.2.15.P,,,,4
HUG I.2.16.F,,,,15
HUG I.2.17.F,,,,594
HUG I.3 Fractures mEtaphysaires de la hanche, , , , 
HUG I.3.1.M,0.039,0.036,1.1,384
HUG I.3.2.M,0,0,,33
HUG I.3.3.M,0,0.001,0,26
HUG I.3.4.M,0.014,0.014,1,72
HUG I.3.5.M,0.023,0.025,0.9,86
HUG I.3.6.M,0.034,0.043,0.8,89
HUG I.3.7.M,0.115,0.087,1.3,78
HUG I.3.8.M,0.013,0.039,0.3,377
"HUG I.4 Tumeurs malignes des os, des articulations et du tissu conjonctif", , , , 
HUG I.4.1.F,,,,125
"HUG J Affections complexes, hEtErogËnes (indicateur pour peer review)", , , , 
HUG J.1 Respiration artificielle, , , , 
HUG J.1.1.M,0.207,0.229,0.9,574
HUG J.1.4.M,0.206,0.224,0.9,559
HUG J.1.5.M,0.195,0.21,0.9,328
HUG J.1.6.M,0.224,0.253,0.9,246
HUG J.1.2.S,148,,,574
HUG J.1.3.P,0.451,0.404,,65
HUG J.2 SepticEmie, , , , 
HUG J.2.1.M,0.249,0.221,1.1,518
HUG J.2.2.M,0.286,0.227,1.3,427
HUG J.2.3.M,0.077,0.086,0.9,91
HUG J.2.4.M,0.166,0.11,1.5,718
HUG J.2.5.M,0.379,0.35,1.1,169
HUG J.3 Insuffisance rEnale aux produits de contraste, , , , 
HUG J.3.1.P,0.136,0.072,,330
HUG K Affections de la peau, , , , 
HUG K.1 Affections de la peau, , , , 
HUG K.1.1.F,,,,44
HUG K.1.2.F,,,,65
HUG K.1.3.F,,,,14
HUG L MEdecine hautement spEcialisEe, , , , 
HUG L.1 Transplantations cardiaques, , , , 
HUG L.1.1.F,,,,0
HUG L.1.2.F,,,,0
HUG L.1.3.F,,,,0
HUG L.2 Transplantations pulmonaires, , , , 
HUG L.2.1.F,,,,0
HUG L.2.2.F,,,,0
HUG L.3 Transplantations hEpatiques, , , , 
HUG L.3.1.F,,,,54
HUG L.3.2.F,,,,40
HUG L.3.3.F,,,,14
HUG L.3.4.F,,,,10
HUG L.4 Transplantations du pancrEas, , , , 
HUG L.4.1.F,,,,10
HUG L.5 Transplantations rEnales, , , , 
HUG L.5.1.F,,,,40
HUG L.5.2.F,,,,13
HUG L.5.3.F,,,,24
HUG L.5.4.F,,,,1
HUG L.5.5.F,,,,4
HUG L.5.6.F,,,,0
HUG L.6 Transplantations/transfusions de cellules souches, , , , 
HUG L.6.1.F,,,,68
HUG L.6.2.F,,,,17
HUG L.6.3.F,,,,0
HUG L.6.4.F,,,,51
HUG L.6.5.F,,,,0
HUG L.6.8.F,,,,0
HUG L.7 ChimiothErapie hyperthermique, , , , 
HUG L.7.1.F ChimiothErapie intrapEritonEale hyperthermique [HIPEC],,,,7
HUG L.7.2.F ChimiothErapie hyperthermique intrathoracique [HITOC],,,,0
HUG Z Informations supplEmentaires, , , , 
HUG Z.1 DurEe de sEjour, , , , 
HUG A.1.12.X,8.7,,,595
HUG B.1.15.X,18.1,,,910
HUG E.1.1.X,4.9,,,437
HUG E.2.1.X,3.5,,,522
HUG F.1.5.X,11.7,,,44
HUG G.3.1.X,3.6,,,179
HUG H.4.5.X,4.9,,,179
HUG I.1.23.X,6.8,,,273
HUG I.1.24.X,7.9,,,198
HUG Z.1.1.X,2.7,,,235
HUG Z.2 Transferts (pourcentage), , , , 
HUG A.1.1.V,0.058,0.269,,33
HUG A.2.1.V,,,,6
HUG A.3.2.V,0.068,0.214,,32
HUG A.3.4.V,0.037,0.069,,16
HUG A.7.7.V,0,0.039,,0
HUG A.7.11.V,0,0.043,,0
HUG A.7.12.V,0,0.017,,0
HUG B.1.1.V,,,,3
HUG B.1.7.V,,,,3
HUG D.1.8.V,,,,6
HUG D.2.1.V,,,,2
HUG E.4.1.V,,,,1
HUG F.2.13.V,0,0.023,,0
HUG F.3.1.V,0,0.042,,0
HUG I.1.8.V,0,0.005,,0
HUG J.1.1.V,,,,5
HUG J.2.1.V,,,,7
Institution Indikator,beobachtete Rate 2018,erwartete Rate 2018,SMR 2018,Fallzahl 2018
Insel Gruppe AG (universit‰r) A Erkrankungen des Herzens, , , , 
Insel Gruppe AG (universit‰r) A.1 Herzinfarkt, , , , 
Insel Gruppe AG (universit‰r) A.1.1.M,0.043,0.041,1.1,1'181
Insel Gruppe AG (universit‰r) A.1.2.M,0.05,0.018,2.7,40
Insel Gruppe AG (universit‰r) A.1.3.M,0.029,0.017,1.7,417
Insel Gruppe AG (universit‰r) A.1.4.M,0.045,0.045,1,626
Insel Gruppe AG (universit‰r) A.1.5.M,0.092,0.128,0.7,98
Insel Gruppe AG (universit‰r) A.1.7.M,0.094,0.053,1.8,339
Insel Gruppe AG (universit‰r) A.1.8.M,0.031,0.03,1,610
Insel Gruppe AG (universit‰r) A.1.14.P,0.914,0.64,,1'080
Insel Gruppe AG (universit‰r) A.1.15.P,0.928,0.604,,530
Insel Gruppe AG (universit‰r) A.1.16.P,0.902,0.761,,550
Insel Gruppe AG (universit‰r) A.1.17.P,0.946,0.608,,540
Insel Gruppe AG (universit‰r) A.1.9.P,0.016,0.017,,19
Insel Gruppe AG (universit‰r) A.1.10.M,0.062,0.059,1,550
Insel Gruppe AG (universit‰r) A.1.10.P,0.466,0.406,,550
Insel Gruppe AG (universit‰r) A.1.11.M,0.017,0.024,0.7,606
Insel Gruppe AG (universit‰r) A.1.13.M,0.149,0.129,1.2,201
Insel Gruppe AG (universit‰r) A.2 Herzinsuffizienz, , , , 
Insel Gruppe AG (universit‰r) A.2.1.M,0.069,0.061,1.1,510
Insel Gruppe AG (universit‰r) A.2.2.M,0,0.03,0,10
Insel Gruppe AG (universit‰r) A.2.3.M,0.03,0.024,1.3,99
Insel Gruppe AG (universit‰r) A.2.4.M,0.072,0.061,1.2,319
Insel Gruppe AG (universit‰r) A.2.5.M,0.11,0.108,1,82
Insel Gruppe AG (universit‰r) A.2.6.P,0.659,0.563,,180
Insel Gruppe AG (universit‰r) A.3 Herzkatheter, , , , 
Insel Gruppe AG (universit‰r) A.3.1.F,,,,3'690
Insel Gruppe AG (universit‰r) A.3.2.M,0.023,0.023,1,960
Insel Gruppe AG (universit‰r) A.3.4.M,0.019,0.016,1.2,1'219
Insel Gruppe AG (universit‰r) A.3.7.M,0.016,0.013,1.3,1'109
Insel Gruppe AG (universit‰r) A.3.5.M,0.009,0.009,1,916
Insel Gruppe AG (universit‰r) A.3.5.P,0.427,0.451,,916
Insel Gruppe AG (universit‰r) A.3.8.M,0.007,0.007,0.9,861
Insel Gruppe AG (universit‰r) A.3.6.F,,,,44
Insel Gruppe AG (universit‰r) A.4 Herzrhythmusstˆrungen, , , , 
Insel Gruppe AG (universit‰r) A.4.1.F,,,,1'041
Insel Gruppe AG (universit‰r) A.5 Versorgung mit Schrittmacher oder implantierbarem Defibrillator, , , , 
Insel Gruppe AG (universit‰r) A.5.1.F,,,,491
Insel Gruppe AG (universit‰r) A.5.2.F,,,,155
Insel Gruppe AG (universit‰r) A.6 Ablative Therapie, , , , 
Insel Gruppe AG (universit‰r) A.6.1.F,,,,588
Insel Gruppe AG (universit‰r) A.6.2.F,,,,42
Insel Gruppe AG (universit‰r) A.7 Operationen am Herzen, , , , 
Insel Gruppe AG (universit‰r) A.7.1.F,,,,1'642
Insel Gruppe AG (universit‰r) A.7.2.F,,,,978
Insel Gruppe AG (universit‰r) A.7.3.F,,,,505
Insel Gruppe AG (universit‰r) A.7.4.F,,,,561
Insel Gruppe AG (universit‰r) A.7.5.F,,,,364
Insel Gruppe AG (universit‰r) A.7.6.F,,,,81
Insel Gruppe AG (universit‰r) A.7.24.F,,,,342
Insel Gruppe AG (universit‰r) A.7.7.M,0.009,0.007,1.3,108
Insel Gruppe AG (universit‰r) A.7.19.M,,,,2
Insel Gruppe AG (universit‰r) A.7.20.M,0.009,0.004,2.1,106
Insel Gruppe AG (universit‰r) A.7.25.M,0,0.002,0,107
Insel Gruppe AG (universit‰r) A.7.26.M,,,,8
Insel Gruppe AG (universit‰r) A.7.27.M,0.04,0.037,1.1,226
Insel Gruppe AG (universit‰r) A.7.8.M,0.02,0.028,0.7,300
Insel Gruppe AG (universit‰r) A.7.9.M,0.02,0.028,0.7,295
Insel Gruppe AG (universit‰r) A.7.10.M,,,,5
Insel Gruppe AG (universit‰r) A.7.23.M,0.041,0.02,2.1,74
Insel Gruppe AG (universit‰r) A.7.11.M,0.019,0.023,0.8,107
Insel Gruppe AG (universit‰r) A.7.28.M,0.02,0.013,1.5,102
Insel Gruppe AG (universit‰r) A.7.12.M,0.016,0.008,1.9,192
Insel Gruppe AG (universit‰r) A.7.13.M,0,0.004,0,10
Insel Gruppe AG (universit‰r) A.7.14.M,0,0,,28
Insel Gruppe AG (universit‰r) A.7.15.M,0.023,0.009,2.5,86
Insel Gruppe AG (universit‰r) A.7.16.M,0,0.009,0,59
Insel Gruppe AG (universit‰r) A.7.17.M,,,,9
"Insel Gruppe AG (universit‰r) A.7.29.M OP an Koronargef‰ssen mit weiterer OP am Herzen (Alter >19), Mortalit‰t",0.044,0.055,0.8,206
Insel Gruppe AG (universit‰r) A.7.18.P,,,,8
Insel Gruppe AG (universit‰r) A.7.21.P,0,0.004,,0
Insel Gruppe AG (universit‰r) A.7.22.P,,,,3
"Insel Gruppe AG (universit‰r) B Erkrankungen des Nervensystems, Schlaganfall (Stroke)", , , , 
Insel Gruppe AG (universit‰r) B.1 Schlaganfall, , , , 
Insel Gruppe AG (universit‰r) B.1.1.M,0.082,0.07,1.2,1'581
Insel Gruppe AG (universit‰r) B.1.2.M,0.04,0.024,1.7,101
Insel Gruppe AG (universit‰r) B.1.3.M,0.049,0.039,1.3,432
Insel Gruppe AG (universit‰r) B.1.4.M,0.093,0.071,1.3,806
Insel Gruppe AG (universit‰r) B.1.5.M,0.124,0.142,0.9,242
"Insel Gruppe AG (universit‰r) B.1.19.P Anteil HD Schlaganfall mit Stroke Unit Behandlung (Alter >19), Direktaufnahmen",0.72,0.426,,787
"Insel Gruppe AG (universit‰r) B.1.20.P Anteil HD Schlaganfall mit Stroke Unit Behandlung (Alter >19), Zuverlegungen",0.75,0.431,,366
Insel Gruppe AG (universit‰r) B.1.7.M,0.048,0.048,1,1'254
Insel Gruppe AG (universit‰r) B.1.8.M,0.045,0.047,0.9,896
Insel Gruppe AG (universit‰r) B.1.13.M,0.056,0.055,1,358
Insel Gruppe AG (universit‰r) B.1.16.P,,,,3
Insel Gruppe AG (universit‰r) B.1.17.P,,,,3
Insel Gruppe AG (universit‰r) B.1.9.M,0.045,0.064,0.7,88
Insel Gruppe AG (universit‰r) B.1.9.P,0.07,0.118,,88
Insel Gruppe AG (universit‰r) B.1.18.M,0.106,0.129,0.8,263
Insel Gruppe AG (universit‰r) B.1.18.P,0.21,0.068,,263
Insel Gruppe AG (universit‰r) B.1.14.M,0.2,0.208,1,85
Insel Gruppe AG (universit‰r) B.1.14.P,0.068,0.068,,85
Insel Gruppe AG (universit‰r) B.1.10.M,0.214,0.192,1.1,229
Insel Gruppe AG (universit‰r) B.1.11.M,0.211,0.139,1.5,95
Insel Gruppe AG (universit‰r) B.1.12.M,,,,3
Insel Gruppe AG (universit‰r) B.1.12.P,,,,3
Insel Gruppe AG (universit‰r) B.2 Transitorisch isch‰mische Attacke (TIA), , , , 
Insel Gruppe AG (universit‰r) B.2.1.M,0,0.002,0,258
Insel Gruppe AG (universit‰r) B.2.2.P,0.628,0.358,,162
Insel Gruppe AG (universit‰r) B.3 Bˆsartige Neubildungen des Gehirns oder der Hirnh‰ute, , , , 
Insel Gruppe AG (universit‰r) B.3.1.F,,,,254
Insel Gruppe AG (universit‰r) B.3.2.M,0.015,0.014,1,137
Insel Gruppe AG (universit‰r) B.4 Epilepsie, , , , 
Insel Gruppe AG (universit‰r) B.4.1.F,,,,422
Insel Gruppe AG (universit‰r) B.4.2.F,,,,104
Insel Gruppe AG (universit‰r) B.5 Multiple Sklerose, , , , 
Insel Gruppe AG (universit‰r) B.5.1.F,,,,101
Insel Gruppe AG (universit‰r) C Altersmedizin, , , , 
Insel Gruppe AG (universit‰r) C.1 Geriatrische Fr¸hrehabilitation, , , , 
Insel Gruppe AG (universit‰r) C.1.1.F,,,,106
Insel Gruppe AG (universit‰r) C.1.2.P,0.34,0.71,,36
Insel Gruppe AG (universit‰r) C.1.3.S,39,,,36
Insel Gruppe AG (universit‰r) C.1.4.P,0,0.186,,0
Insel Gruppe AG (universit‰r) C.1.5.S,,,,0
Insel Gruppe AG (universit‰r) C.2 Mangelern‰hrung bei ƒlteren, , , , 
Insel Gruppe AG (universit‰r) C.2.1.P,0.012,0.021,,170
Insel Gruppe AG (universit‰r) C.2.2.P,0.306,0.098,,52
