institution;indicator;taux observE 2008;taux attendu 2008;SMR 2008;nombre de cas 2008;taux observE 2009;taux attendu 2009;SMR 2009;nombre de cas 2009
HUG ≠ Soins aigus;B.1.9.P Infarctus cErEbral (CIM≠10 I63 ‚ge >19) avec thrombolyse systEmique pourcentage;0.113;0.078;NaN;51;0.074;0.076;NaN;37
HUG ≠ Soins aigus;B.1.9.M Infarctus cErEbral (CIM≠10 I63 ‚ge >19) avec thrombolyse systEmique mortalitE;0.098;0.099;1;51;0.162;0.104;1.6;37
HUG ≠ Soins aigus;B.1.10.M HEmorragie intracErEbrale (CIM≠10 I61 ‚ge >19) mortalitE;0.263;0.291;0.9;118;0.261;0.266;1;88
HUG ≠ Soins aigus;B.1.11.M HEmorragie sous≠arachnoÔdienne (CIM≠10 I60 ‚ge >19) mortalitE;0.195;0.137;1.4;113;0.161;0.117;1.4;93
HUG ≠ Soins aigus;B.1.12.P Accident vasculaire cErEbral sans prEcision (CIM≠10 I64 ‚ge >19) pourcentage;0.055;0.157;NaN;40;0.053;0.138;NaN;38
HUG ≠ Soins aigus;B.1.12.M Accident vasculaire cErEbral sans prEcision (CIM≠10 I64 ‚ge >19) mortalitE;0.025;0.079;0.3;40;0.026;0.077;0.3;38
HUG ≠ Soins aigus;B.2 Accident ischEmique transitoire (AIT); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;B.2.1.M AIT mortalitE;0;0.003;0;111;0;0.001;0;109
HUG ≠ Soins aigus;B.2.2.P AIT avec traitement en unitE cErEbro≠vasculaire pourcentage;...;...;NaN;...;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;C REEducation gEriatrique prEcoce; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;C.1 REEducation gEriatrique prEcoce; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;C.1.1.F REEducation gEriatrique prEcoce;NaN;NaN;NaN;...;NaN;NaN;NaN;0
HUG ≠ Soins aigus;D Maladies pulmonaires; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;D.1 Pneumonie; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;D.1.1.M DP de pneumonie mortalitE;0.02;0.057;0.4;595;0.023;0.061;0.4;732
HUG ≠ Soins aigus;D.1.2.M DP de pneumonie ‚ge <20 mortalitE;0;0.003;0;70;0.012;0.004;3.4;80
HUG ≠ Soins aigus;D.1.3.M DP de pneumonie ‚ge 20-44 mortalitE;0;0.008;0;54;0;0.006;0;55
HUG ≠ Soins aigus;D.1.4.M DP de pneumonie ‚ge 45-64 mortalitE;0.014;0.039;0.4;138;0.021;0.034;0.6;142
HUG ≠ Soins aigus;D.1.5.M DP de pneumonie ‚ge 65-84 mortalitE;0.032;0.072;0.4;253;0.033;0.07;0.5;301
HUG ≠ Soins aigus;D.1.6.M DP de pneumonie ‚ge >84 mortalitE;0.025;0.125;0.2;80;0.019;0.119;0.2;154
HUG ≠ Soins aigus;D.1.7.M DP de pneumonie ‚ge 1-19 sans tumeur ni mucoviscidose admissions directes mortalitE;0;0.003;0;62;0.015;0.004;3.9;65
HUG ≠ Soins aigus;D.1.8.M DP de pneumonie ‚ge >19 sans tumeur ni mucoviscidose admissions directes mortalitE;0.012;0.052;0.2;424;0.02;0.055;0.4;545
HUG ≠ Soins aigus;D.2 Broncho-pneumopathie chronique obstructive (BPCO); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;D.2.1.M BPCO (‚ge >19) mortalitE;0.009;0.04;0.2;111;0;0.038;0;116
HUG ≠ Soins aigus;D.2.2.M BPCO (‚ge >19) avec VEF1 <35 % mortalitE;...;...;...;...;0;0.079;0;20
HUG ≠ Soins aigus;D.2.3.M BPCO (‚ge >19) avec VEF1 35-49 % mortalitE;...;...;...;...;0;0.03;0;20
HUG ≠ Soins aigus;D.2.4.M BPCO (‚ge >19) avec VEF1 50-69 % mortalitE;...;...;...;...;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;D.2.5.M BPCO (‚ge >19) avec VEF1 >69% mortalitE;...;...;...;...;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;D.2.6.P BPCO (‚ge >19) avec VEF1 non prEcisE pourcentage;...;...;NaN;...;0.543;0.335;NaN;63
HUG ≠ Soins aigus;D.2.6.M BPCO (‚ge >19) avec VEF1 non prEcisE mortalitE;...;...;...;...;0;0.045;0;63
HUG ≠ Soins aigus;D.3 Cancer du poumon (carcinome bronchique); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;D.3.1.F Hospitalisations en cas de cancer du poumon;NaN;NaN;NaN;419;NaN;NaN;NaN;529
HUG ≠ Soins aigus;D.4 OpErations du poumon; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;D.4.1.M Total des rEsections pulmonaires ou bronchiques majeures mortalitE;0.056;0.033;1.7;108;0.01;0.028;0.3;104
HUG ≠ Soins aigus;D.4.2.P Pneumonectomie en cas de carcinome bronchique pourcentage;0.19;0.136;NaN;12;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;D.4.2.M Pneumonectomie en cas de carcinome bronchique mortalitE;0;0.072;0;12;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;D.4.3.M REsections pulmonaires partielles en cas de carcinome bronchique mortalitE;0.059;0.03;1.9;51;0;0.024;0;45
HUG ≠ Soins aigus;E OpErations des organes abdominaux et de la thyroÔde (chirurgie viscErale); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;E.1 Ablation de la vEsicule biliaire (cholEcystectomie); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;E.1.1.M CholEcystectomie en cas de calculs biliaires et cholEcystite sans tumeur mortalitE;0.002;0.003;0.8;436;0;0.003;0;446
HUG ≠ Soins aigus;E.1.2.P Laparoscopie avec cholEcystectomie en cas de calculs biliaires et cholEcystite sans tumeur pourcentage;0.897;0.92;NaN;391;0.926;0.931;NaN;413
HUG ≠ Soins aigus;E.2 REparations de hernie; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;E.2.1.M Herniotomie sans OP de l'intestin mortalitE;0.005;0.001;4.4;594;0;0.003;0;473
HUG ≠ Soins aigus;E.2.2.M Herniotomie avec OP de l'intestin mortalitE;NaN;NaN;NaN;<10;0;0.076;0;20
HUG ≠ Soins aigus;E.3 OpErations de la thyroÔde; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;E.3.1.F REsections thyroÔdiennes;NaN;NaN;NaN;180;NaN;NaN;NaN;220
HUG ≠ Soins aigus;E.3.2.P Cas de respiration artificielle >95 h en cas de rEsections thyroÔdiennes pourcentage;NaN;NaN;NaN;<10;0;0.003;NaN;0
HUG ≠ Soins aigus;E.3.3.F RadiothErapie par iode radioactif;NaN;NaN;NaN;...;NaN;NaN;NaN;60
HUG ≠ Soins aigus;E.4 OpErations majeures du cÙlon et du rectum (opErations colorectales); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;E.4.1.M Total des rEsections colorectales mortalitE;0.073;0.052;1.4;316;0.062;0.06;1;289
HUG ≠ Soins aigus;E.4.2.M REsections du cÙlon pour cancer colorectal sans diagnostic compliquant mortalitE;0.027;0.054;0.5;75;0.087;0.049;1.8;92
HUG ≠ Soins aigus;E.4.3.M REsections du cÙlon pour cancer colorectal avec diagnostic compliquant mortalitE;0.2;0.143;1.4;10;0.091;0.175;0.5;11
HUG ≠ Soins aigus;E.4.4.M REsections du rectum pour cancer colorectal mortalitE;0;0.031;0;43;0;0.04;0;23
HUG ≠ Soins aigus;E.4.5.M REsections colorectales pour diverticule sans abcËs/perforation mortalitE;0;0;0;33;0;0.008;0;32
HUG ≠ Soins aigus;E.4.6.M REsections colorectales pour diverticule avec abcËs/perforation mortalitE;0.061;0.074;0.8;33;0.034;0.053;0.6;29
HUG ≠ Soins aigus;E.4.7.M REsections colorectales pour ischEmie intestinale mortalitE;0.444;0.267;1.7;18;0.3;0.366;0.8;10
HUG ≠ Soins aigus;E.4.8.F REsections du cÙlon pour autre diagnostic;NaN;NaN;NaN;103;NaN;NaN;NaN;91
HUG ≠ Soins aigus;E.4.9.F Interventions colorectales locales pour cancer colorectal;NaN;NaN;NaN;10;NaN;NaN;NaN;15
HUG ≠ Soins aigus;E.4.10.F Interventions colorectales locales affection autre que cancer colorectal;NaN;NaN;NaN;124;NaN;NaN;NaN;128
HUG ≠ Soins aigus;E.5 OpErations de l'estomac; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;E.5.1.F Total des gastrectomies;NaN;NaN;NaN;57;NaN;NaN;NaN;53
HUG ≠ Soins aigus;E.5.2.M Gastrectomies (sans opEration de l'úsophage) en cas de cancer de l'estomac mortalitE;0.037;0.039;0.9;27;0.059;0.037;1.6;17
HUG ≠ Soins aigus;E.5.3.M Gastrectomies avec opEration complexe de l'úsophage mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;E.6 OpErations de líúsophage; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;E.6.1.M Interventions complexes de líúsophage mortalitE;0.143;0.032;4.5;14;0;0.08;0;11
HUG ≠ Soins aigus;E.7 OpErations du pancrEas; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;E.7.1.M Total des rEsections du pancrEas (sans transplantation ‚ge >19) mortalitE;0.027;0.044;0.6;37;0.163;0.078;2.1;49
HUG ≠ Soins aigus;F OpErations de vaisseaux; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;F.1 OpErations des vaisseaux extra≠cr‚niens; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;F.1.1.M OP des vaisseaux extra≠cr‚niens mortalitE;0;0.003;0;41;0;0.007;0;44
HUG ≠ Soins aigus;F.1.2.M Implantation percutanEe de stents dans des vaisseaux extra≠cr‚niens mortalitE;0.027;0.02;1.4;37;0.062;0.021;3;32
HUG ≠ Soins aigus;F.1.3.F Autres OP des vaisseaux extra≠cr‚niens en cas d'OP du cúur ou de l'aorte;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;F.2 OpErations en cas de dilatation de l'aorte (anEvrisme de l'aorte); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;F.2.1.F Total des OP de l'aorte;NaN;NaN;NaN;42;NaN;NaN;NaN;43
HUG ≠ Soins aigus;F.2.2.M OP abdominale ‡ ciel ouvert en cas d'anEvrisme de l'aorte sans rupture mortalitE;0;0.029;0;21;0.045;0.045;1;22
HUG ≠ Soins aigus;F.2.3.M OP abdominale endovasculaire en cas d'anEvrisme de l'aorte sans rupture mortalitE;NaN;NaN;NaN;<10;0;0.022;0;13
HUG ≠ Soins aigus;F.2.4.F OP en cas d'anEvrisme de l'aorte thoracique ou thoraco≠abdominale (sans valve aortique);NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;F.2.5.M AnEvrisme de l'aorte avec rupture mortalitE;0.867;0.451;1.9;15;0.583;0.432;1.3;24
HUG ≠ Soins aigus;F.3 OpErations des artËres du bassin et des jambes; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;F.3.1.F Total des OP des artËres du bassin/des jambes;NaN;NaN;NaN;56;NaN;NaN;NaN;62
HUG ≠ Soins aigus;F.3.2.M OP des artËres du bassin/des jambes en cas de claudication mortalitE;...;...;...;...;0;0.008;0;15
HUG ≠ Soins aigus;F.3.3.M OP des artËres du bassin/des jambes en cas de douleurs au repos mortalitE;...;...;...;...;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;F.3.4.M OP des artËres du bassin/des jambes en cas d'ulcEration ou de gangrËne mortalitE;...;...;...;...;NaN;NaN;NaN;0
HUG ≠ Soins aigus;F.3.5.M OP des artËres du bassin/des jambes en cas d'embolie/de thrombose des artËres mortalitE;0.1;0.051;2;10;0.038;0.075;0.5;26
HUG ≠ Soins aigus;F.3.6.M OP des artËres du bassin/des jambes en cas de complications dues ‡ des prothËses/implants mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;F.3.7.M OP des artËres du bassin/des jambes en cas d'anEvrisme/de dissection mortalitE;0;0.045;0;10;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;F.3.8.F OP des artËres du bassin/des jambes combinEe ‡ une OP de l'aorte;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;F.3.9.F OP des artËres du bassin/des jambes en cas d'autre diagnostic complexe;NaN;NaN;NaN;28;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;F.4 Amputations; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;F.4.1.M Amputation non traumatique au niveau du pied mortalitE;0.042;0.019;2.2;48;0;0.02;0;33
HUG ≠ Soins aigus;F.4.2.M Amputation non traumatique de membre infErieur mortalitE;0.182;0.138;1.3;33;0.056;0.123;0.5;36
HUG ≠ Soins aigus;G GynEcologie et obstEtrique; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;G.1 Accouchements; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;G.1.1.F Accouchements hospitaliers;NaN;NaN;NaN;3'811;NaN;NaN;NaN;3'773
HUG ≠ Soins aigus;G.1.1.P Accouchements hospitaliers contribuant au dEcËs de la mËre poucentage;0;0;NaN;0;0;0;NaN;0
HUG ≠ Soins aigus;G.1.2.P Accouchements par voie vaginale avec rupture pErinEale du 3Ëme et 4Ëme degrE pourcentage;0.029;0.028;NaN;80;0.018;0.029;NaN;50
HUG ≠ Soins aigus;G.1.3.P Accouchements par voie vaginale avec Episiotomie pourcentage;0.149;0.291;NaN;416;0.136;0.289;NaN;378
HUG ≠ Soins aigus;G.1.4.P CEsariennes pourcentage;0.266;0.328;NaN;1'013;0.263;0.325;NaN;994
HUG ≠ Soins aigus;G.2 Nouveau≠nEs; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;G.2.1.F Nouveau≠nEs <1250 g;NaN;NaN;NaN;...;NaN;NaN;NaN;98
HUG ≠ Soins aigus;G.2.2.F Nouveau≠nEs <1250 g transfErE díun autre hÙpital;NaN;NaN;NaN;...;NaN;NaN;NaN;18
HUG ≠ Soins aigus;G.2.3.F Nouveau≠nEs <500 g;NaN;NaN;NaN;...;NaN;NaN;NaN;23
HUG ≠ Soins aigus;G.2.4.F Nouveau≠nEs 500-749 g;NaN;NaN;NaN;...;NaN;NaN;NaN;27
HUG ≠ Soins aigus;G.2.5.F Nouveau≠nEs 750-999 g;NaN;NaN;NaN;...;NaN;NaN;NaN;18
HUG ≠ Soins aigus;G.2.6.F Nouveau≠nEs 1000-1249 g;NaN;NaN;NaN;...;NaN;NaN;NaN;30
HUG ≠ Soins aigus;G.2.7.F Nouveau≠nEs 1250-1499 g;NaN;NaN;NaN;...;NaN;NaN;NaN;16
HUG ≠ Soins aigus;G.2.8.F Nouveau≠nEs 1500-2499 g;NaN;NaN;NaN;...;NaN;NaN;NaN;321
HUG ≠ Soins aigus;G.2.9.F Nouveau≠nEs >2499 g ou sans indication de poids;NaN;NaN;NaN;...;NaN;NaN;NaN;3'619
HUG ≠ Soins aigus;G.3 Ablation de líutErus pour affections bEnignes (hystErectomie); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;G.3.1.M HystErectomie pour affections bEnignes mortalitE;0;0;0;211;0.004;0.001;2.4;277
HUG ≠ Soins aigus;G.3.2.P HystErectomies laparoscopiques/vaginales sans plastie pourcentage;0.761;0.707;NaN;150;0.804;0.73;NaN;213
HUG ≠ Soins aigus;G.4 Cancer du sein; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;G.4.1.F Traitements hospitaliers en cas de cancer du sein;NaN;NaN;NaN;335;NaN;NaN;NaN;482
HUG ≠ Soins aigus;G.5 Interventions du sein; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;G.5.1.F Total des interventions du sein (rEsections et plasties mammaires);NaN;NaN;NaN;360;NaN;NaN;NaN;405
HUG ≠ Soins aigus;G.5.2.F REsections mammaires en cas de cancer du sein;NaN;NaN;NaN;200;NaN;NaN;NaN;249
HUG ≠ Soins aigus;G.5.3.P REsections partielles en cas de cancer du sein pourcentage;0.68;0.647;NaN;136;0.775;0.674;NaN;193
HUG ≠ Soins aigus;H Maladies des voies urinaires et des organes gEnitaux masculins; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;H.1 Ablation du rein (nEphrectomie et nEphrectomie partielle); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;H.1.1.M NEphrectomie totale mortalitE;0.032;0.013;2.5;62;0.029;0.024;1.2;69
HUG ≠ Soins aigus;H.1.2.P OP laparoscopique en cas de nEphrectomie totale pourcentage;0.403;0.242;NaN;25;0.174;0.212;NaN;12
HUG ≠ Soins aigus;H.1.3.P NEphrectomie partielle pourcentage;0.173;0.22;NaN;13;0.148;0.258;NaN;12
HUG ≠ Soins aigus;H.1.3.M NEphrectomie partielle mortalitE;0;0.013;0;13;0;0.002;0;12
HUG ≠ Soins aigus;H.1.4.P OP laparoscopique en cas de nEphrectomie partielle pourcentage;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;H.2 Calculs rEnaux; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;H.2.1.F DP calculs rEnaux;NaN;NaN;NaN;323;NaN;NaN;NaN;251
HUG ≠ Soins aigus;H.2.2.P Intervention pour extraction des calculs en cas de DP calculs rEnaux pourcentage;0.74;0.43;NaN;239;0.637;0.434;NaN;160
HUG ≠ Soins aigus;H.3 OpErations de la vessie; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;H.3.1.F DP tumeur maligne de la vessie;NaN;NaN;NaN;167;NaN;NaN;NaN;213
HUG ≠ Soins aigus;H.3.2.F Total des RTU de vessie;NaN;NaN;NaN;184;NaN;NaN;NaN;199
HUG ≠ Soins aigus;H.3.3.F RTU de vessie en cas de tumeur maligne;NaN;NaN;NaN;136;NaN;NaN;NaN;153
HUG ≠ Soins aigus;H.3.4.P RTU en cas de tumeur maligne avec instillation de mEdicaments chimiothErapeutiques dans la vessie pourcentage;...;...;NaN;...;0.301;0.04;NaN;46
HUG ≠ Soins aigus;H.3.5.M Ablation de la vessie (cystectomie) mortalitE;0;0.016;0;12;0;0.04;0;20
HUG ≠ Soins aigus;H.4 REsection prostatique transurEtrale (TURP); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;H.4.1.M RTU de prostate mortalitE;0;0.003;0;221;0.005;0.003;1.8;201
HUG ≠ Soins aigus;H.5 Carcinome de la prostate; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;H.5.1.F Carcinome de la prostate (DP ou DS);NaN;NaN;NaN;291;NaN;NaN;NaN;316
HUG ≠ Soins aigus;H.5.2.M ProstatovEsiculectomie radicale mortalitE;0;0.001;0;55;0;0.002;0;70
