,Nom_df1,Nom_df2
21,"Solothurner Spit‰ler AG - Spital Dornach, Spitalweg 11, 4143 Dornach",Solothurner Spitäler AG
22,"Kantonsspital Aarau AG - Kantonsspital Aarau AG, Tellstrasse 25, 5001 Aarau",Kantonsspital Aarau AG
23,"Kantonsspital Winterthur - Kantonsspital Winterthur, Brauerstrasse 15, 8400 Winterthur",Kantonsspital Winterthur
24,"Lindenhofgruppe AG - Lindenhofspital, Bremgartenstrasse 117, 3012 Bern",Lindenhofgruppe AG
25,"Lindenhofgruppe AG - Sonnenhofspital, Buchserstrasse 30, 3006 Bern",Lindenhofgruppe AG
26,"Lindenhofgruppe AG - Engeriedspital, Riedweg 15, 3012 Bern",Lindenhofgruppe AG
27,"HÙpital du Valais Centre hospitalier du Valais Romand CHVR - HÙpital de Sierre, Rue St-Charles 14, 3960 Sierre",Hôpital du Valais Centre hospitalier du Valais Romand CHVR
28,"Spital Thurgau AG Kantonsspit‰ler Frauenfeld & M¸nsterlingen - Kantonsspital Frauenfeld KSF, Pfaffenholzstrasse 4, Postfach, 8501 Frauenfeld",Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen
29,"Spital Thurgau AG Kantonsspit‰ler Frauenfeld & M¸nsterlingen - Kantonsspital M¸nsterlingen KSM, Spitalcampus 1, 8596 M¸nsterlingen",Spital Thurgau AG Kantonsspitäler Frauenfeld & Münsterlingen
30,"Kantonsspital Baselland - Liestal, M¸hlemattstrasse 26, 4410 Liestal",Kantonsspital Baselland
31,"Kantonsspital Baselland - Bruderholz, , 4101 Bruderholz",Kantonsspital Baselland
32,"Kantonsspital Baselland - Laufen, Lochbruggstrasse 39, 4242 Laufen",Kantonsspital Baselland
33,"HFR - HÙpital fribourgeois - HFR Billens, Route de l'HÙpital 1, 1681 Billens",HFR - Hôpital fribourgeois
34,"HFR - HÙpital fribourgeois - HFR Meyriez-Murten, Spitalweg 36, 3280 Murten",HFR - Hôpital fribourgeois
35,"HFR - HÙpital fribourgeois - HFR Riaz, Rue de l'HÙpital 39, 1632 Riaz",HFR - Hôpital fribourgeois
36,"HFR - HÙpital fribourgeois - HFR Tafers, Maggenberg 1, 1712 Tafers",HFR - Hôpital fribourgeois
37,"Kantonsspital Baden AG - Im Ergel 1, Im Ergel 1, 5404 Baden",Kantonsspital Baden AG
38,"Klinik Hirslanden AG - Klinik Hirslanden AG, Witellikerstrasse 40, 8032 Z¸rich",Klinik Hirslanden AG
39,"Hirslanden Bern AG - Klinik Beau-Site, Sch‰nzlihalde 11, 3013 Bern",Hirslanden Bern AG
40,"Hirslanden Bern AG - Salem-Spital, Sch‰nzlistrasse 39, 3013 Bern",Hirslanden Bern AG
41,"Hirslanden Bern AG - Klinik Permanence, B¸mplizstrasse 83, 3018 Bern",Hirslanden Bern AG
42,"Kantonsspital Graub¸nden - Kantonsspital Graub¸nden, Loestrasse 170, 7000 Chur",Kantonsspital Graubünden
43,"Insel Gruppe AG (nicht-universit‰r) - Spital Tiefenau, Tiefenaustrasse 112, 3004 Bern",Insel Gruppe AG (nicht-universitär)
44,"Insel Gruppe AG (nicht-universit‰r) - Spital Aarberg, Lyssstrasse 31, 3270 Aarberg",Insel Gruppe AG (nicht-universitär)
45,"Insel Gruppe AG (nicht-universit‰r) - Spital und Altersheim Belp, Seftigenstrasse 89/91, 3123 Belp",Insel Gruppe AG (nicht-universitär)
46,"Insel Gruppe AG (nicht-universit‰r) - Spital M¸nsingen, Krankenhausweg 18/20, 3110 M¸nsingen",Insel Gruppe AG (nicht-universitär)
47,"Insel Gruppe AG (nicht-universit‰r) - Spital Riggisberg, Eyweg 2, 3132 Riggisberg",Insel Gruppe AG (nicht-universitär)
48,"Spitalregion Rheintal Werdenberg Sarganserland - Spital Altst‰tten, F.-Marolani-Strasse 6, 9450 Altst‰tten",Spitalregion Rheintal Werdenberg Sarganserland
49,"Spitalregion Rheintal Werdenberg Sarganserland - Spital Grabs, Spitalstrasse 44, 9472 Grabs",Spitalregion Rheintal Werdenberg Sarganserland
50,"Spitalregion Rheintal Werdenberg Sarganserland - Spital Walenstadt, Spitalstrasse 5, 8880 Walenstadt",Spitalregion Rheintal Werdenberg Sarganserland
51,"Hirslanden Klinik St. Anna AG - Hirslanden Klinik St. Anna AG, St. Anna-Strasse 32, 6006 Luzern",Hirslanden Klinik St. Anna AG
52,"Hirslanden Klinik St. Anna AG - Hirslanden Klinik St. Anna AG, St. Anna-Strasse 32, 6006 Luzern",Hirslanden Klinik St. Anna AG Hirslanden Klinik Meggen
53,"Etablissements Hospitaliers du Nord Vaudois (eHnv) - HÙpital d'Yverdon-les-Bains, Rue d'Entremonts 11, 1400 Yverdon-les-Bains",Etablissements Hospitaliers du Nord Vaudois (eHnv)
54,"Etablissements Hospitaliers du Nord Vaudois (eHnv) - HÙpital de Saint-Loup, Route de St-Loup 13, 1318 Pompaples",Etablissements Hospitaliers du Nord Vaudois (eHnv)
55,"Etablissements Hospitaliers du Nord Vaudois (eHnv) - HÙpital de Chamblon, Route de l'HÙpital 3, 1436 Chamblon",Etablissements Hospitaliers du Nord Vaudois (eHnv)
56,"Etablissements Hospitaliers du Nord Vaudois (eHnv) - HÙpital d'Orbe, Chemin de la Magnenette 2, 1350 Orbe",Etablissements Hospitaliers du Nord Vaudois (eHnv)
57,"Etablissements Hospitaliers du Nord Vaudois (eHnv) - HÙpital de La VallEe, Rue de l'HÙpital 3, 1347 Le Sentier",Etablissements Hospitaliers du Nord Vaudois (eHnv)
58,"Spitalzentrum Biel AG - Spitalzentrum Biel, Vogelsang 84, 2502 Biel/Bienne",Spitalzentrum Biel AG
59,"Spital Wallis - Spitalzentrum Oberwallis (SZO) - Standort Brig, Ueberlandstrasse, 3900 Brig",Spital Wallis - Spitalzentrum Oberwallis (SZO)
60,"Spital Wallis - Spitalzentrum Oberwallis (SZO) - Standort Visp, Pflanzettastrasse 8, 3930 Visp",Spital Wallis - Spitalzentrum Oberwallis (SZO)
61,"EHC Ensemble hospitalier de la CÙte - HÙpital de Morges, Chemin du CrÍt 2, 1110 Morges",EHC Ensemble hospitalier de la Côte
62,"EHC Ensemble hospitalier de la CÙte - HÙpital de Gilly, Rte du Pavillon 12, 1182 Gilly",EHC Ensemble hospitalier de la Côte
63,"EHC Ensemble hospitalier de la CÙte - HÙptial d'Aubonne, Rue de TrEvelin 67, 1170 Aubonne",EHC Ensemble hospitalier de la Côte
64,"Zuger Kantonsspital AG - Zuger Kantonsspital, Landhausstrasse 11, 6340 Baar",Zuger Kantonsspital AG
65,"Regionalspital Emmental AG - Spital Burgdorf, Oberburgstrasse 54, 3400 Burgdorf",Regionalspital Emmental AG
66,"Regionalspital Emmental AG - Spital Langnau, Dorfbergstrasse 10, 3550 Langnau",Regionalspital Emmental AG
67,"Hirslanden Klinik Aarau - Hirslanden Klinik Aarau, Sch‰nisweg 1, 5001 Aarau",Hirslanden Klinik Aarau
68,"Spit‰ler Frutigen Meiringen Interlaken AG - Spital Frutigen, Adelbodenstrasse 27, 3714 Frutigen",Spitäler Frutigen Meiringen Interlaken AG
69,"Spit‰ler Frutigen Meiringen Interlaken AG - Spital Interlaken, Weissenaustrasse 27, 3800 Unterseen",Spitäler Frutigen Meiringen Interlaken AG
70,"Gesundheitszentrum Fricktal - GZF, Spital Rheinfelden, Riburgerstrasse 12, 4310 Rheinfelden",Gesundheitszentrum Fricktal
71,"Gesundheitszentrum Fricktal - GZF, Spital Laufenburg, Spitalstrasse 10, 5080 Laufenburg",Gesundheitszentrum Fricktal
72,"Spitalregion F¸rstenland Toggenburg - Spital Wil, F¸rstenlandstrasse 32, 9500 Wil SG",Spitalregion Fürstenland Toggenburg
73,"Spitalregion F¸rstenland Toggenburg - Spital Wattwil, Steig, 9630 Wattwil",Spitalregion Fürstenland Toggenburg
74,"Hirslanden Lausanne SA - Clinique Bois-Cerf, Avenue d'Ouchy 31, 1006 Lausanne",Hirslanden Lausanne SA
75,"Hirslanden Lausanne SA - Clinique Cecil, Avenue Louis-Ruchonnet 53, 1003 Lausanne",Hirslanden Lausanne SA
76,"Groupement Hospitalier de l'Ouest LEmanique (GHOL) SA - HÙpital de Nyon, Chemin Monastier 10, 1260 Nyon",Groupement Hospitalier de l'Ouest Lémanique (GHOL) SA
77,"Groupement Hospitalier de l'Ouest LEmanique (GHOL) SA - HÙpital de Rolle, Route de l'HÙpital 26, 1180 Rolle",Groupement Hospitalier de l'Ouest Lémanique (GHOL) SA
78,"Bethesda Spital AG - Bethesda Spital, Gellertstrasse 144, 4052 Basel",Bethesda Spital AG
79,"Stiftung Spital Muri - Stiftung Spital Muri, Spitalstrasse 144, 5630 Muri AG",Stiftung Spital Muri
80,"Clinica Luganese Moncucco SA - Clinica Luganese Moncucco SA, Via Moncucco 10, 6903 Lugano",Clinica Luganese Moncucco SA
81,"Spitalverbund Appenzell Ausserrhoden, Akutsomatisches Spital Heiden,Herisau - Spital Herisau, Spitalstrasse 6, 9100 Herisau",Spitalverbund Appenzell Ausserrhoden
82,"Spitalverbund Appenzell Ausserrhoden, Akutsomatisches Spital Heiden,Herisau - Spital Heiden, Werdstrasse 1 A, 9410 Heiden",Spitalverbund Appenzell Ausserrhoden
83,"Hirslanden Klinik Linde AG - Klinik Linde, Blumenrain 105, 2503 Biel/Bienne",Hirslanden Klinik Linde AG
84,"Kantonsspital Obwalden - Kantonsspital Obwalden, Br¸nigstrasse 181, 6060 Sarnen",Kantonsspital Obwalden
85,"Hirslanden Klinik Stephanshorn - Hirslanden Klinik Stephanshorn, Brauerstrasse 95, 9016 St. Gallen",Hirslanden Klinik Stephanshorn
86,"Clinique des Grangettes SA - Clinique des Grangettes SA, Chemin des Grangettes 7, 1224 ChÍne-Bougeries",Clinique des Grangettes SA
87,"Kantonsspital Nidwalden - Kantonsspital Nidwalden, Ennetmooserstrasse 19, 6370 Stans",Kantonsspital Nidwalden
88,"Clinique de La Source - Clinique de la Source, Avenue Vinet 30, 1004 Lausanne",Clinique de La Source
89,"Asana Spital Leuggern AG - Asana Spital Leuggern AG, Kommendeweg 12, 5316 Leuggern",Asana Spital Leuggern AG
90,"Privatklinik Bethanien - GSMN Schweiz AG - Privatklinik Bethanien, Toblerstrasse 51, 8044 Z¸rich",Privatklinik Bethanien - GSMN Schweiz AG
91,"Asana Spital Menziken AG - Asana Spital Menziken AG, Spitalstrasse 1, 5737 Menziken",Asana Spital Menziken AG
92,"SMN - Clinica Sant'Anna - SMN - Clinica Sant'Anna, Via Sant'Anna 1, 6924 Sorengo",SMN - Clinica Sant'Anna
93,"Clinica Santa Chiara SA - Clinica Santa Chiara SA, Via Stefano Franscini 4, 6600 Locarno",Clinica Santa Chiara SA
94,"Cardiocentro Ticino (CCT) - Cardiocentro Ticino, Via Tesserete 48, 6900 Lugano",Cardiocentro Ticino (CCT)
95,"Spital Oberengadin - Spital Oberengadin, Via Nouva 3, 7503 Samedan",Spital Oberengadin
96,"Flury Stiftung Spital Schiers - Flury Stiftung Spital Schiers, , 7220 Schiers",Flury Stiftung Spital Schiers
97,"Regionalspital Surselva AG - Regionalspital Surselva, Spitalstrasse 6, 7130 Ilanz",Regionalspital Surselva AG
98,"Spital Davos AG Akutabteilung - Spital Davos, Promenade 4, 7270 Davos Platz",Spital Davos AG Akutabteilung
99,"Clinique de Genolier - Clinique de Genolier, Route du Muids 3, 1272 Genolier",Clinique de Genolier
100,"Klinik Arlesheim AG - Klinik Arlesheim AG, Pfeffingerweg 1, 4144 Arlesheim",Klinik Arlesheim AG
101,"Center da Sanda Engiadina Bassa Ospidal d'Engiadina Bassa - Ospidal d'Engiadina Bassa, Via da l'Ospidal 280, 7550 Scuol",Center da Sanda Engiadina Bassa Ospidal d'Engiadina Bassa
102,"Kantonales Spital Appenzell - Kantonales Spital Appenzell, Sonnhalde 2, 9050 Appenzell",Kantonales Spital Appenzell
103,"Centro Sanitario Valposchiavo Ospedale San Sisto - Centro Sanitario Valposchiavo Ospedale San Sisto, Via da l'Uspedal 1000, 7742 Poschiavo",Centro Sanitario Valposchiavo Ospedale San Sisto
104,"Center da Sanadad Savognin SA - Center da Sanadad Savognin, Stradung 52, 7460 Savognin",Center da Sanadad Savognin SA
105,"Stiftung Diaconis Palliative Care - Station Oranienburg-Belvoir, Sch‰nzlistrasse 15, 3013 Bern",Stiftung Diaconis Palliative Care
106,"Center da Sanda Val M¸stair Akutabteilung - Center da Sanda Val M¸stair, Sielva, 7536 Sta. Maria V. M.",Center da Sanda Val Müstair Akutabteilung
107,"Centro Sanitario Bregaglia Reparto Acuto - Centro Sanitario Bregaglia Reparto Acuto, Flin, 7606 Promontogno",Centro Sanitario Bregaglia Reparto Acuto
108,"Schulthess Klinik - Schulthess Klinik, Lengghalde 2, 8008 Z¸rich",Schulthess Klinik
109,"Merian Iselin Klinik - Merian Iselin Klinik, Fˆhrenstrasse 2, 4054 Basel",Merian Iselin Klinik
110,"Universit‰tsklinik Balgrist - Universit‰tsklinik Balgrist, Forchstrasse 340, 8008 Z¸rich",Universitätsklinik Balgrist
111,"Hirslanden Klinik Birshof - Hirslanden Klinik Birshof, Reinacherstrasse 28, 4142 M¸nchenstein",Hirslanden Klinik Birshof
112,"SMN - Clinica Ars Medica - SMN - Clinica Ars Medica, Via Grumo 16, 6929 Gravesano",SMN - Clinica Ars Medica
113,"Klinik Gut St. Moritz AG - Klinik Gut St. Moritz, Via Arona 34, 7500 St. Moritz",Klinik Gut St. Moritz AG
114,"Klinik Gut St. Moritz AG - Klinik Gut Fl‰sch, Steigstrasse 12, 7306 Fl‰sch",Klinik Gut St. Moritz AG
115,"Hirslanden Klinik Am Rosenberg AG - Heiden, Hasenb¸hlstrasse 11, 9410 Heiden",Hirslanden Klinik Am Rosenberg AG
116,"SMN - Privatklinik Obach - SMN - Privatklinik Obach, Leopoldstrasse 5, 4500 Solothurn",SMN - Privatklinik Obach
117,"Klinik Pyramide am See AG - Klinik Pyramide am See, Bellerivestrasse 34, 8008 Z¸rich",Klinik Pyramide am See AG
118,"Clinique CIC Riviera - CIC, Rue du Lac 92, 1815 Clarens",Clinique CIC Riviera
119,"Praxisklinik Rennbahn AG - Praxisklinik Rennbahn, Kriegackerstrasse 100, 4132 Muttenz",Praxisklinik Rennbahn AG
120,"Privatklinik Lindberg - GSMN Schweiz AG - Privatklinik Lindberg, Schickstrasse 11, 8400 Winterthur",Privatklinik Lindberg - GSMN Schweiz AG
121,"Uroviva Klinik AG - Uroviva Klinik AG, Z¸richstrasse 5, 8180 B¸lach",Uroviva Klinik AG
122,"Klinik Hohmad AG - Klinik Hohmad, Hohmadstrasse 1, 3600 Thun",Klinik Hohmad AG
123,"Clinique CIC Valais SA - Clinique CIC Valais SA, route du LEman 29, 1907 Saxon",Clinique CIC Valais SA
124,"Hirslanden Klinik St. Anna AG Hirslanden Klinik Meggen - Hirslanden Klinik Meggen, Huobmattstrasse 9, 6045 Meggen",Hirslanden Klinik St. Anna AG
125,"Hirslanden Klinik St. Anna AG Hirslanden Klinik Meggen - Hirslanden Klinik Meggen, Huobmattstrasse 9, 6045 Meggen",Hirslanden Klinik St. Anna AG Hirslanden Klinik Meggen
126,"Hirslanden Klinik Belair - Hirslanden Klinik Belair, Rietstrasse 30, 8200 Schaffhausen",Hirslanden Klinik Belair
127,"Clinique de Montchoisi - Clinique de Montchoisi, Chemin des Allinges 10, 1006 Lausanne",Clinique de Montchoisi
128,"Clinique de la Plaine - Clinique de la Plaine, Rue Charles-Humbert 5, 1205 GenËve",Clinique de la Plaine
129,"Klinik Tiefenbrunnen AG - Klinik Tiefenbrunnen, Dammstrasse 29, 8702 Zollikon",Klinik Tiefenbrunnen AG
130,"Geburtshaus Terra Alta - Terra Alta, Schellenrain 20, 6208 Oberkirch LU",Geburtshaus Terra Alta
131,"Geburtshaus Z¸rcher Oberland AG - Geburtshaus Z¸rcher Oberland  AG, Sch¸rlistrasse 3, 8344 B‰retswil",Geburtshaus Zürcher Oberland AG
132,"Geburtshaus Delphys - Geburtshaus Delphys, Badenerstrasse 177, 8003 Z¸rich",Geburtshaus Delphys
133,"Geburtshaus St.Gallen GmbH - Geburtshaus St.Gallen, Lindenstrasse 71, 9000 St. Gallen",Geburtshaus St.Gallen GmbH
134,"Maison de Naissance le Petit Prince - Le Petit Prince, Route du Petit-Moncor 1d, 1752 Villars-sur-Gl‚ne",Maison de Naissance le Petit Prince
135,"Maison de naissance La Roseraie - Maison de naissance La Roseraie, Chemin du Ch‚telet 3, 1205 GenËve",Maison de naissance La Roseraie
136,"Matthea Geburtshaus - Matthea Geburtshaus, Klybeckstrasse 64/70, 4057 Basel",Matthea Geburtshaus
137,"Geburtshaus Stans - Geburtshaus Stans, Rosenweg 3, 6370 Stans",Geburtshaus Stans
138,"Genossenschaft Geburtshaus Simmental-Saaneland MaternitE Alpine - Geburtshaus MaternitE Alpine, Eggetlistrasse 5a, 3770 Zweisimmen",Genossenschaft Geburtshaus Simmental-Saaneland Maternité Alpine
139,"Geburtshaus ambra GmbH - Geburtshaus ambra GmbH, Unterdorfstrasse 25, 4443 Wittinsburg",Geburtshaus ambra GmbH
140,"Geburtshaus Tagmond GmbH - Geburtshaus Tagmond, Hauptstrasse 26, 4133 Pratteln",Geburtshaus Tagmond GmbH
141,"Maison de naissance Les Cigognes - Maison de naissance Les Cigognes, Route Principale 21, 2824 Vicques",Maison de naissance Les Cigognes
142,"Geburtshaus Basel - Geburtshaus Basel, Schweizergasse 8, 4054 Basel",Geburtshaus Basel
143,"Ita Wegman Geburtshaus - Ita Wegman Geburtshaus, Pfeffingerweg 1, 4144 Arlesheim",Ita Wegman Geburtshaus
144,"Universit‰ts-Kinderspital Z¸rich das Spital der Eleonorenstiftung - Universit‰ts-Kinderspital Z¸rich, Steinwiesstrasse 75, 8032 Z¸rich",Universitäts-Kinderspital Zürich das Spital der Eleonorenstiftung
145,"Universit‰ts-Kinderspital Z¸rich das Spital der Eleonorenstiftung - Rehabilitationszentrum Affoltern, M¸hlebergstrasse 104, 8910 Affoltern am Albis",Universitäts-Kinderspital Zürich das Spital der Eleonorenstiftung
146,"Stiftung Ostschweizer Kinderspital - Ostschweizer Kinderspital, Claudiusstrasse 6, 9006 St. Gallen",Stiftung Ostschweizer Kinderspital
147,"Stiftung Ostschweizer Kinderspital - Romerhuus, Claudiusstrasse 6, 9006 St. Gallen",Stiftung Ostschweizer Kinderspital
