hospital_indicator,observed_rate_2009,expected_rate_2009,SMR_2009,number_of_cases_2009
HUG H.3 OpErations de la vessie, , , , 
HUG H.3.1.F,,,,213
HUG H.3.2.F,,,,199
HUG H.3.3.F,,,,153
HUG H.3.4.P,0.301,0.04,,46
HUG H.3.5.M,0,0.04,0,20
HUG H.4 REsection prostatique transurEtrale (TURP), , , , 
HUG H.4.1.M,0.005,0.003,1.8,201
HUG H.5 Carcinome de la prostate, , , , 
HUG H.5.1.F,,,,316
HUG H.5.2.M,0,0.002,0,70
HUG I Affections orthopEdiques et traumatologiques, , , , 
HUG I.1 Remplacement de l'articulation endoprothËse totale (EPT), , , , 
HUG I.1.1.M,0.003,0.002,1.6,333
HUG I.1.2.M,0,0.01,0,43
HUG I.1.3.M,0,0.001,0,305
HUG I.1.4.M,0,0.005,0,16
HUG I.1.5.M,,,,0
HUG I.2 OpErations de la colonne vertEbrale, , , , 
HUG I.2.1.F,,,,638
HUG I.2.2.M,0,0,0,227
HUG I.3 Fractures mEtaphysaires de la hanche, , , , 
HUG I.3.1.M,0.02,0.043,0.5,245
HUG I.3.2.M,0.05,0.004,13.2,20
HUG I.3.3.M,0,0.018,0,24
HUG I.3.4.M,0.017,0.021,0.8,59
HUG I.3.5.M,0,0.035,0,46
HUG I.3.6.M,0.02,0.057,0.4,49
HUG I.3.7.M,0.043,0.091,0.5,47
HUG I.3.8.M,0.034,0.043,0.8,205
HUG J Affections complexes hEtErogËnes (indicateur pour peer review), , , , 
HUG J.1 Respiration artificielle, , , , 
HUG J.1.1.M,0.243,0.265,0.9,259
HUG J.2 Etats septiques, , , , 
HUG J.2.1.M,0.19,0.174,1.1,379
Institution Indikator,beobachtete Rate 2009,erwartete Rate 2009,SMR 2009,Fallzahl 2009
Inselspital Bern A Erkrankungen des Herzens, , , , 
Inselspital Bern A.1 Herzinfarkt, , , , 
Inselspital Bern A.1.1.M,0.043,0.051,0.8,1'000
Inselspital Bern A.1.2.M,0,0.009,0,53
Inselspital Bern A.1.3.M,0.032,0.022,1.5,443
Inselspital Bern A.1.4.M,0.053,0.067,0.8,454
Inselspital Bern A.1.5.M,0.1,0.213,0.5,50
Inselspital Bern A.1.6.P,0.963,0.522,,963
Inselspital Bern A.1.7.M,0.105,0.077,1.4,219
Inselspital Bern A.1.8.M,0.029,0.031,0.9,691
Inselspital Bern A.1.9.P,0.012,0.065,,12
Inselspital Bern A.1.10.M,0.057,0.055,1,545
Inselspital Bern A.1.11.M,0.018,0.034,0.5,438
Inselspital Bern A.2 Herzinsuffizienz, , , , 
Inselspital Bern A.2.1.M,0.082,0.064,1.3,195
Inselspital Bern A.2.2.M,,,,<10
Inselspital Bern A.2.3.M,0.067,0.029,2.3,60
Inselspital Bern A.2.4.M,0.06,0.067,0.9,100
Inselspital Bern A.2.5.M,0.161,0.122,1.3,31
Inselspital Bern A.3 Linksherzkatheter (LHK), , , , 
Inselspital Bern A.3.1.F,,,,4'161
Inselspital Bern A.3.2.M,0.029,0.028,1,859
Inselspital Bern A.3.3.M F‰lle mit LHK ohne Herzinfarkt mit komplizierender Diagnose (Alter >19) Mortalit‰t,0.077,0.115,0.7,104
Inselspital Bern A.3.4.M,0.004,0.005,0.7,2'669
Inselspital Bern A.3.5.P,0.418,0.377,,1'116
Inselspital Bern A.3.6.F,,,,26
Inselspital Bern A.4 Herzrhythmusstˆrungen, , , , 
Inselspital Bern A.4.1.F,,,,470
Inselspital Bern A.5 Versorgung mit Schrittmacher oder implantierbarem Defibrillator, , , , 
Inselspital Bern A.5.1.F,,,,261
Inselspital Bern A.5.2.F,,,,98
Inselspital Bern A.6 Ablative Therapie, , , , 
Inselspital Bern A.6.1.F,,,,261
Inselspital Bern A.6.2.F,,,,42
Inselspital Bern A.7 Operationen am Herzen, , , , 
Inselspital Bern A.7.1.F,,,,1'325
Inselspital Bern A.7.2.F,,,,632
Inselspital Bern A.7.3.F,,,,523
Inselspital Bern A.7.4.F,,,,507
Inselspital Bern A.7.5.F,,,,306
Inselspital Bern A.7.6.F,,,,55
Inselspital Bern A.7.7.M,0.021,0.031,0.7,337
Inselspital Bern A.7.11.M,0.031,0.05,0.6,65
Inselspital Bern A.7.12.M,0.012,0.018,0.7,248
Inselspital Bern A.7.13.M,0,0,,14
Inselspital Bern A.7.14.M,0.023,0.007,3.6,43
Inselspital Bern A.7.15.M,0.025,0.016,1.5,81
Inselspital Bern A.7.16.M,0,0.026,0,93
Inselspital Bern A.7.17.M,0,0.027,0,17
Inselspital Bern A.7.18.P,,,,<10
Inselspital Bern B.1 Schlaganfall, , , , 
Inselspital Bern B.1.1.M,0.136,0.097,1.4,734
Inselspital Bern B.1.2.M,0.072,0.036,2,69
Inselspital Bern B.1.3.M,0.139,0.066,2.1,251
Inselspital Bern B.1.4.M,0.135,0.111,1.2,364
Inselspital Bern B.1.5.M,0.22,0.23,1,50
Inselspital Bern B.1.6.P,0.139,0.079,,102
Inselspital Bern B.1.7.M,0.092,0.063,1.5,413
Inselspital Bern B.1.8.M,0.089,0.061,1.5,292
Inselspital Bern B.1.9.P,0.271,0.076,,112
Inselspital Bern B.1.9.M,0.152,0.106,1.4,112
Inselspital Bern B.1.10.M,0.227,0.225,1,163
Inselspital Bern B.1.11.M,0.234,0.14,1.7,94
Inselspital Bern B.1.12.P,0.087,0.138,,64
Inselspital Bern B.1.12.M,0.047,0.082,0.6,64
Inselspital Bern B.2 Transitorisch isch‰mische Attacke (TIA), , , , 
Inselspital Bern B.2.1.M,0,0.001,0,160
Inselspital Bern B.2.2.P,0.062,0.005,,10
Inselspital Bern C Geriatrische Fr¸hrehablitation, , , , 
Inselspital Bern C.1 Geriatrische Fr¸hrehabilitation, , , , 
Inselspital Bern C.1.1.F,,,,<10
Inselspital Bern D Erkrankungen der Lunge, , , , 
Inselspital Bern D.1 Lungenentz¸ndung (Pneumonie), , , , 
Inselspital Bern D.1.1.M,0.046,0.03,1.5,350
Inselspital Bern D.1.2.M,0.007,0.003,2.1,150
Inselspital Bern D.1.3.M,0.04,0.007,5.3,25
Inselspital Bern D.1.4.M,0.039,0.035,1.1,77
Inselspital Bern D.1.5.M,0.114,0.066,1.7,88
Inselspital Bern D.1.6.M,0.1,0.12,0.8,10
Inselspital Bern D.1.7.M,0.008,0.003,2.5,124
Inselspital Bern D.1.8.M,0.03,0.031,1,135
Inselspital Bern D.2 Chronisch obstruktive Lungenkrankheit (COPD), , , , 
Inselspital Bern D.2.1.M,0.01,0.03,0.3,96
Inselspital Bern D.2.2.M,0.045,0.078,0.6,22
Inselspital Bern D.2.3.M,0,0.016,0,21
Inselspital Bern D.2.4.M,0,0.007,0,16
Inselspital Bern D.2.5.M,,,,<10
Inselspital Bern D.2.6.P,0.333,0.335,,32
Inselspital Bern D.2.6.M,0,0.037,0,32
Inselspital Bern D.3 Lungenkrebs, , , , 
Inselspital Bern D.3.1.F,,,,499
Inselspital Bern D.4 Operationen an der Lunge, , , , 
Inselspital Bern D.4.1.M,0.026,0.03,0.9,195
Inselspital Bern D.4.2.P,,,,<10
Inselspital Bern D.4.2.M,,,,<10
Inselspital Bern D.4.3.M,0.013,0.023,0.6,77
Inselspital Bern E Operationen an Bauchorganen und Schilddr¸se (Viszeralchirurgie), , , , 
Inselspital Bern E.1 Entfernung der Gallenblase (Cholezystektomie), , , , 
Inselspital Bern E.1.1.M,0,0.002,0,87
Inselspital Bern E.1.2.P,0.885,0.931,,77
Inselspital Bern E.2 Hernienoperationen, , , , 
Inselspital Bern E.2.1.M,0.004,0.001,6.7,227
Inselspital Bern E.2.2.M,0.133,0.084,1.6,15
Inselspital Bern E.3 Eingriffe an der Schilddr¸se, , , , 
Inselspital Bern E.3.1.F,,,,127
Inselspital Bern E.3.2.P,0,0.003,,0
Inselspital Bern E.3.3.F,,,,181
Inselspital Bern E.4 Grosse Operationen an Dickdarm und Enddarm (kolorektale Operationen), , , , 
Inselspital Bern E.4.1.M,0.086,0.046,1.9,187
Inselspital Bern E.4.2.M,0.045,0.036,1.3,22
Inselspital Bern E.4.3.M,,,,<10
Inselspital Bern E.4.4.M,0,0.022,0,26
Inselspital Bern E.4.5.M,0,0.008,0,12
Inselspital Bern E.4.6.M,0.385,0.099,3.9,13
Inselspital Bern E.4.7.M,,,,<10
Inselspital Bern E.4.8.F,,,,101
Inselspital Bern E.4.9.F Lokale kolorektale Eingriffe bei kolorektalem Karzinom,,,,<10
Inselspital Bern E.4.10.F Lokale kolorektale Eingriffe ohne kolorektales Karzinom,,,,153
Inselspital Bern E.5 Operationen am Magen, , , , 
Inselspital Bern E.5.1.F,,,,45
Inselspital Bern E.5.2.M,0,0.051,0,14
Inselspital Bern E.5.3.M,0,0.097,0,10
Inselspital Bern E.6 Operationen am ÷sophagus, , , , 
Inselspital Bern E.6.1.M,0,0.074,0,15
Inselspital Bern E.7 Operationen am Pankreas, , , , 
Inselspital Bern E.7.1.M,0,0.055,0,62
Inselspital Bern F Operationen an Gef‰ssen, , , , 
Inselspital Bern F.1 Extrakranielle Gef‰ssoperationen, , , , 
Inselspital Bern F.1.1.M,0.014,0.005,2.9,74
Inselspital Bern F.1.2.M,0,0.022,0,59
Inselspital Bern F.1.3.F,,,,14
Inselspital Bern F.2 Operationen bei Erweiterung der Aorta (Aortenaneurysma), , , , 
Inselspital Bern F.2.1.F,,,,155
Inselspital Bern F.2.2.M,0.012,0.041,0.3,84
Inselspital Bern F.2.3.M,0,0.023,0,13
Inselspital Bern F.2.4.F,,,,16
Inselspital Bern F.2.5.M,0.189,0.362,0.5,53
Inselspital Bern F.3 Operationen an Becken≠/Beinarterien, , , , 
Inselspital Bern F.3.1.F,,,,118
Inselspital Bern F.3.2.M,0,0.024,0,26
Inselspital Bern F.3.3.M,,,,<10
Inselspital Bern F.3.4.M,,,,<10
Inselspital Bern F.3.5.M,0.125,0.067,1.9,16
Inselspital Bern F.3.6.M,0,0.067,0,13
Inselspital Bern F.3.7.M,0,0.016,0,15
Inselspital Bern F.3.8.F,,,,16
Inselspital Bern F.3.9.F,,,,18
Inselspital Bern F.4 Amputationen, , , , 
Inselspital Bern F.4.1.M,0.042,0.026,1.6,71
Inselspital Bern F.4.2.M,0.065,0.097,0.7,31
Inselspital Bern G Geburtshilfe und Frauenheilkunde, , , , 
Inselspital Bern G.1 Geburten, , , , 
Inselspital Bern G.1.1.F,,,,1'304
Inselspital Bern G.1.1.P,0,0,,0
Inselspital Bern G.1.2.P,0.039,0.029,,29
Inselspital Bern G.1.3.P,0.21,0.289,,157
Inselspital Bern G.1.4.P,0.427,0.325,,557
Inselspital Bern G.2 Neugeborene, , , , 
Inselspital Bern G.2.1.F,,,,125
Inselspital Bern G.2.2.F,,,,<10
Inselspital Bern G.2.3.F,,,,18
Inselspital Bern G.2.4.F,,,,38
Inselspital Bern G.2.5.F,,,,32
Inselspital Bern G.2.6.F,,,,37
Inselspital Bern G.2.7.F,,,,48
Inselspital Bern G.2.8.F,,,,302
Inselspital Bern G.2.9.F,,,,1'341
Inselspital Bern G.3 Entfernung der Geb‰rmutter bei gutartigen Erkrankungen (Hysterektomie), , , , 
Inselspital Bern G.3.1.M,0,0.001,0,121
Inselspital Bern G.3.2.P,0.883,0.73,,106
Inselspital Bern G.4 Brustkrebs, , , , 
Inselspital Bern G.4.1.F,,,,317
Inselspital Bern G.5 Eingriffe an der Brust, , , , 
Inselspital Bern G.5.1.F,,,,189
Inselspital Bern G.5.2.F,,,,110
Inselspital Bern G.5.3.P,0.755,0.674,,83
Inselspital Bern H Erkrankungen der Harnwege und der m‰nnlichen Geschlechtsorgane, , , , 
Inselspital Bern H.1 Entfernung der Niere (Nephrektomie), , , , 
Inselspital Bern H.1.1.M,0.015,0.024,0.6,68
Inselspital Bern H.1.2.P,0.176,0.212,,12
Inselspital Bern H.1.3.P Anteil partielle Nephrektomie,0.306,0.258,,30
Inselspital Bern H.1.3.M,0,0.01,0,30
Inselspital Bern H.1.4.P,,,,<10
Inselspital Bern H.2 Nierensteine, , , , 
Inselspital Bern H.2.1.F,,,,667
Inselspital Bern H.2.2.P,0.75,0.434,,500
Inselspital Bern H.3 Eingriffe an der Harnblase, , , , 
Inselspital Bern H.3.1.F,,,,284
Inselspital Bern H.3.2.F,,,,210
Inselspital Bern H.3.3.F,,,,120
Inselspital Bern H.3.4.P,0.108,0.04,,13
Inselspital Bern H.3.5.M,0.015,0.03,0.5,66
Inselspital Bern H.4 Entfernung der Prostata durch Abtragung ¸ber die Harnrˆhre (Prostata≠TUR), , , , 
Inselspital Bern H.4.1.M,0.006,0.003,2,175
Inselspital Bern H.5 Prostatakarzinom, , , , 
Inselspital Bern H.5.1.F,,,,379
Inselspital Bern H.5.2.M,0,0.002,0,61
Inselspital Bern I Orthop‰dische und unfallchirurgische Krankheitsbilder, , , , 
Inselspital Bern I.1 Gelenkersatz Totalendoprothese (TEP), , , , 
Inselspital Bern I.1.1.M,0,0.001,0,129
Inselspital Bern I.1.2.M,0.026,0.008,3.2,38
Inselspital Bern I.1.3.M,0,0.001,0,74
Inselspital Bern I.1.4.M,0,0.007,0,25
Inselspital Bern I.1.5.M,,,,0
Inselspital Bern I.2 Operationen an der Wirbels‰ule, , , , 
Inselspital Bern I.2.1.F,,,,1'254
Inselspital Bern I.2.2.M,0,0,0,315
Inselspital Bern I.3 H¸ftgelenknahe Frakturen, , , , 
Inselspital Bern I.3.1.M,0.07,0.03,2.4,43
Inselspital Bern I.3.2.M,0.071,0.012,5.9,14
Inselspital Bern I.3.3.M,0,0.015,0,10
Inselspital Bern I.3.4.M,,,,<10
Inselspital Bern I.3.5.M,,,,<10
Inselspital Bern I.3.6.M,,,,<10
Inselspital Bern I.3.7.M,,,,<10
Inselspital Bern I.3.8.M,0.026,0.034,0.8,39
Inselspital Bern J Komplexe heterogene Krankheitsbilder (Tracer f¸r Peer Review), , , , 
Inselspital Bern J.1 Beatmung, , , , 
Inselspital Bern J.1.1.M,0.272,0.279,1,302
Inselspital Bern J.2 Sepsis, , , , 
Inselspital Bern J.2.1.M,0.18,0.144,1.3,167
institution indicator,taux observE 2009,taux attendu 2009,SMR 2009,nombre de cas 2009
Centre Hospitalier Universitaire Vaudois (CHUV) A Maladies cardiaques, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.1 Infarctus du myocarde, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.1.M,0.046,0.064,0.7,607
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.2.M,0.031,0.005,5.9,32
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.3.M,0.021,0.022,1,237
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.4.M,0.048,0.071,0.7,272
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.5.M,0.136,0.218,0.6,66
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.6.P,0.871,0.522,,529
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.7.M,0.063,0.097,0.7,301
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.8.M,0.046,0.034,1.3,196
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.9.P,0.051,0.065,,31
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.10.M,0.053,0.058,0.9,304
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.11.M,0.03,0.049,0.6,270
Centre Hospitalier Universitaire Vaudois (CHUV) A.2 Insuffisance cardiaque, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.1.M,0.063,0.08,0.8,461
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.2.M,0,0.005,0,11
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.3.M,0.099,0.033,3,71
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.4.M,0.061,0.073,0.8,244
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.5.M,0.052,0.125,0.4,135
Centre Hospitalier Universitaire Vaudois (CHUV) A.3 CathEtErisme cardiaque gauche (CCG), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.1.F,,,,1'564
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.2.M,0.026,0.029,0.9,500
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (‚ge >19) mortalitE,0.115,0.095,1.2,87
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.4.M,0.004,0.006,0.7,809
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.5.P,0.305,0.377,,247
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.6.F,,,,57
Centre Hospitalier Universitaire Vaudois (CHUV) A.4 Troubles du rythme cardiaque, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.4.1.F,,,,487
Centre Hospitalier Universitaire Vaudois (CHUV) A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.5.1.F,,,,231
Centre Hospitalier Universitaire Vaudois (CHUV) A.5.2.F,,,,69
Centre Hospitalier Universitaire Vaudois (CHUV) A.6 Traitement par ablation, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.6.1.F,,,,183
Centre Hospitalier Universitaire Vaudois (CHUV) A.6.2.F,,,,36
Centre Hospitalier Universitaire Vaudois (CHUV) A.7 OpErations du cúur, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.1.F,,,,566
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.2.F,,,,290
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.3.F,,,,200
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.4.F,,,,208
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.5.F,,,,119
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.6.F,,,,80
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.7.M,0.047,0.026,1.8,128
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.11.M,0.095,0.06,1.6,21
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.12.M,0.027,0.018,1.5,110
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.13.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.14.M,0,0.005,0,17
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.15.M,0.061,0.018,3.3,33
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.16.M,0.024,0.026,0.9,42
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.17.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.18.P,0.127,0.03,,14
Centre Hospitalier Universitaire Vaudois (CHUV) B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.1.M,0.14,0.114,1.2,558
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.2.M,0.024,0.04,0.6,41
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.3.M,0.139,0.064,2.2,151
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.4.M,0.122,0.115,1.1,278
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.5.M,0.25,0.235,1.1,88
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.6.P,0.36,0.079,,201
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.7.M,0.087,0.079,1.1,413
