hospital_indicator,observed_rate_2008,expected_rate_2008,SMR_2008,number_of_cases_2008
HUG H.3 OpErations de la vessie, , , , 
HUG H.3.1.F,,,,167
HUG H.3.2.F,,,,184
HUG H.3.3.F,,,,136
HUG H.3.4.P,...,...,,...
HUG H.3.5.M,0,0.016,0,12
HUG H.4 REsection prostatique transurEtrale (TURP), , , , 
HUG H.4.1.M,0,0.003,0,221
HUG H.5 Carcinome de la prostate, , , , 
HUG H.5.1.F,,,,291
HUG H.5.2.M,0,0.001,0,55
HUG I Affections orthopEdiques et traumatologiques, , , , 
HUG I.1 Remplacement de l'articulation endoprothËse totale (EPT), , , , 
HUG I.1.1.M,0.003,0.002,1.9,318
HUG I.1.2.M,0.069,0.01,7,29
HUG I.1.3.M,0,0.001,0,251
HUG I.1.4.M,0,0.003,0,14
HUG I.1.5.M,,,,0
HUG I.2 OpErations de la colonne vertEbrale, , , , 
HUG I.2.1.F,,,,648
HUG I.2.2.M,0,0,0,254
HUG I.3 Fractures mEtaphysaires de la hanche, , , , 
HUG I.3.1.M,0.04,0.048,0.8,202
HUG I.3.2.M,0,0,,12
HUG I.3.3.M,0,0.016,0,27
HUG I.3.4.M,0.026,0.026,1,39
HUG I.3.5.M,0.024,0.039,0.6,41
HUG I.3.6.M,0.026,0.059,0.4,39
HUG I.3.7.M,0.114,0.1,1.1,44
HUG I.3.8.M,0.032,0.043,0.7,248
HUG J Affections complexes hEtErogËnes (indicateur pour peer review), , , , 
HUG J.1 Respiration artificielle, , , , 
HUG J.1.1.M,0.263,0.287,0.9,175
HUG J.2 Etats septiques, , , , 
HUG J.2.1.M,0.21,0.172,1.2,286
Institution Indikator,beobachtete Rate 2008,erwartete Rate 2008,SMR 2008,Fallzahl 2008
Inselspital Bern A Erkrankungen des Herzens, , , , 
Inselspital Bern A.1 Herzinfarkt, , , , 
Inselspital Bern A.1.1.M,0.041,0.056,0.7,1'049
Inselspital Bern A.1.2.M,0.015,0.011,1.4,68
Inselspital Bern A.1.3.M,0.027,0.025,1.1,440
Inselspital Bern A.1.4.M,0.051,0.076,0.7,493
Inselspital Bern A.1.5.M,0.104,0.211,0.5,48
Inselspital Bern A.1.6.P,0.955,0.515,,1'002
Inselspital Bern A.1.7.M,0.1,0.089,1.1,211
Inselspital Bern A.1.8.M,0.029,0.037,0.8,758
Inselspital Bern A.1.9.P,0.01,0.071,,11
Inselspital Bern A.1.10.M,0.058,0.059,1,565
Inselspital Bern A.1.11.M,0.013,0.037,0.3,473
Inselspital Bern A.2 Herzinsuffizienz, , , , 
Inselspital Bern A.2.1.M,0.039,0.068,0.6,285
Inselspital Bern A.2.2.M,0.182,0.048,3.8,11
Inselspital Bern A.2.3.M,0.014,0.036,0.4,73
Inselspital Bern A.2.4.M,0.017,0.074,0.2,173
Inselspital Bern A.2.5.M,0.179,0.123,1.5,28
Inselspital Bern A.3 Linksherzkatheter (LHK), , , , 
Inselspital Bern A.3.1.F,,,,4'579
Inselspital Bern A.3.2.M,0.032,0.036,0.9,883
Inselspital Bern A.3.3.M F‰lle mit LHK ohne Herzinfarkt mit komplizierender Diagnose (Alter >19) Mortalit‰t,0.095,0.076,1.3,105
Inselspital Bern A.3.4.M,0.003,0.005,0.5,3'137
Inselspital Bern A.3.5.P,0.372,0.382,,1'167
Inselspital Bern A.3.6.F,,,,22
Inselspital Bern A.4 Herzrhythmusstˆrungen, , , , 
Inselspital Bern A.4.1.F,,,,500
Inselspital Bern A.5 Versorgung mit Schrittmacher oder implantierbarem Defibrillator, , , , 
Inselspital Bern A.5.1.F,,,,234
Inselspital Bern A.5.2.F,,,,73
Inselspital Bern A.6 Ablative Therapie, , , , 
Inselspital Bern A.6.1.F,,,,278
Inselspital Bern A.6.2.F,,,,41
Inselspital Bern A.7 Operationen am Herzen, , , , 
Inselspital Bern A.7.1.F,,,,1'337
Inselspital Bern A.7.2.F,,,,601
Inselspital Bern A.7.3.F,,,,640
Inselspital Bern A.7.4.F,,,,446
Inselspital Bern A.7.5.F,,,,314
Inselspital Bern A.7.6.F,,,,58
Inselspital Bern A.7.7.M,0.034,0.03,1.2,263
Inselspital Bern A.7.11.M,0.021,0.031,0.7,95
Inselspital Bern A.7.12.M,0.003,0.014,0.2,306
Inselspital Bern A.7.13.M,0,0,,21
Inselspital Bern A.7.14.M,0,0.006,0,47
Inselspital Bern A.7.15.M,0,0.01,0,115
Inselspital Bern A.7.16.M,0.01,0.021,0.5,103
Inselspital Bern A.7.17.M,0,0.041,0,20
Inselspital Bern A.7.18.P,,,,<10
Inselspital Bern B.1 Schlaganfall, , , , 
Inselspital Bern B.1.1.M,0.125,0.095,1.3,511
Inselspital Bern B.1.2.M,0.121,0.051,2.3,58
Inselspital Bern B.1.3.M,0.075,0.061,1.2,186
Inselspital Bern B.1.4.M,0.138,0.116,1.2,240
Inselspital Bern B.1.5.M,0.37,0.224,1.7,27
Inselspital Bern B.1.6.P,...,...,,...
Inselspital Bern B.1.7.M,0.056,0.06,0.9,284
Inselspital Bern B.1.8.M,0.061,0.063,1,213
Inselspital Bern B.1.9.P,0.313,0.078,,89
Inselspital Bern B.1.9.M,0.056,0.086,0.7,89
Inselspital Bern B.1.10.M,0.313,0.252,1.2,99
Inselspital Bern B.1.11.M,0.183,0.128,1.4,93
Inselspital Bern B.1.12.P,0.068,0.157,,35
Inselspital Bern B.1.12.M,0,0.058,0,35
Inselspital Bern B.2 Transitorisch isch‰mische Attacke (TIA), , , , 
Inselspital Bern B.2.1.M,0,0.001,0,84
Inselspital Bern B.2.2.P,...,...,,...
Inselspital Bern C Geriatrische Fr¸hrehablitation, , , , 
Inselspital Bern C.1 Geriatrische Fr¸hrehabilitation, , , , 
Inselspital Bern C.1.1.F,,,,...
Inselspital Bern D Erkrankungen der Lunge, , , , 
Inselspital Bern D.1 Lungenentz¸ndung (Pneumonie), , , , 
Inselspital Bern D.1.1.M,0.05,0.027,1.9,321
Inselspital Bern D.1.2.M,0,0.002,0,156
Inselspital Bern D.1.3.M,0.1,0.012,8.1,30
Inselspital Bern D.1.4.M,0.085,0.041,2.1,59
Inselspital Bern D.1.5.M,0.114,0.07,1.6,70
Inselspital Bern D.1.6.M,,,,<10
Inselspital Bern D.1.7.M,0,0.002,0,115
Inselspital Bern D.1.8.M,0.045,0.031,1.4,112
Inselspital Bern D.2 Chronisch obstruktive Lungenkrankheit (COPD), , , , 
Inselspital Bern D.2.1.M,0.045,0.033,1.4,66
Inselspital Bern D.2.2.M,...,...,...,...
Inselspital Bern D.2.3.M,...,...,...,...
Inselspital Bern D.2.4.M,...,...,...,...
Inselspital Bern D.2.5.M,...,...,...,...
Inselspital Bern D.2.6.P,...,...,,...
Inselspital Bern D.2.6.M,...,...,...,...
Inselspital Bern D.3 Lungenkrebs, , , , 
Inselspital Bern D.3.1.F,,,,393
Inselspital Bern D.4 Operationen an der Lunge, , , , 
Inselspital Bern D.4.1.M,0.024,0.029,0.8,168
Inselspital Bern D.4.2.P,,,,<10
Inselspital Bern D.4.2.M,,,,<10
Inselspital Bern D.4.3.M,0.018,0.03,0.6,56
Inselspital Bern E Operationen an Bauchorganen und Schilddr¸se (Viszeralchirurgie), , , , 
Inselspital Bern E.1 Entfernung der Gallenblase (Cholezystektomie), , , , 
Inselspital Bern E.1.1.M,0.009,0.002,4.5,106
Inselspital Bern E.1.2.P,0.849,0.92,,90
Inselspital Bern E.2 Hernienoperationen, , , , 
Inselspital Bern E.2.1.M,0,0.001,0,190
Inselspital Bern E.2.2.M,,,,<10
Inselspital Bern E.3 Eingriffe an der Schilddr¸se, , , , 
Inselspital Bern E.3.1.F,,,,107
Inselspital Bern E.3.2.P,0,0.002,,0
Inselspital Bern E.3.3.F,,,,...
Inselspital Bern E.4 Grosse Operationen an Dickdarm und Enddarm (kolorektale Operationen), , , , 
Inselspital Bern E.4.1.M,0.066,0.038,1.8,211
Inselspital Bern E.4.2.M,0.032,0.036,0.9,31
Inselspital Bern E.4.3.M,,,,<10
Inselspital Bern E.4.4.M,0.083,0.021,4,24
Inselspital Bern E.4.5.M,0,0.001,0,10
Inselspital Bern E.4.6.M,0,0.052,0,11
Inselspital Bern E.4.7.M,,,,<10
Inselspital Bern E.4.8.F,,,,120
Inselspital Bern E.4.9.F Lokale kolorektale Eingriffe bei kolorektalem Karzinom,,,,<10
Inselspital Bern E.4.10.F Lokale kolorektale Eingriffe ohne kolorektales Karzinom,,,,143
Inselspital Bern E.5 Operationen am Magen, , , , 
Inselspital Bern E.5.1.F,,,,43
Inselspital Bern E.5.2.M,0,0.052,0,14
Inselspital Bern E.5.3.M,,,,<10
Inselspital Bern E.6 Operationen am ÷sophagus, , , , 
Inselspital Bern E.6.1.M,0,0.015,0,10
Inselspital Bern E.7 Operationen am Pankreas, , , , 
Inselspital Bern E.7.1.M,0.032,0.051,0.6,63
Inselspital Bern F Operationen an Gef‰ssen, , , , 
Inselspital Bern F.1 Extrakranielle Gef‰ssoperationen, , , , 
Inselspital Bern F.1.1.M,0,0.002,0,83
Inselspital Bern F.1.2.M,0.045,0.039,1.2,44
Inselspital Bern F.1.3.F,,,,24
Inselspital Bern F.2 Operationen bei Erweiterung der Aorta (Aortenaneurysma), , , , 
Inselspital Bern F.2.1.F,,,,146
Inselspital Bern F.2.2.M,0.011,0.036,0.3,89
Inselspital Bern F.2.3.M,0,0.024,0,12
Inselspital Bern F.2.4.F,,,,<10
Inselspital Bern F.2.5.M,0.379,0.414,0.9,29
Inselspital Bern F.3 Operationen an Becken≠/Beinarterien, , , , 
Inselspital Bern F.3.1.F,,,,108
Inselspital Bern F.3.2.M,...,...,...,...
Inselspital Bern F.3.3.M,...,...,...,...
Inselspital Bern F.3.4.M,...,...,...,...
Inselspital Bern F.3.5.M,0.048,0.037,1.3,21
Inselspital Bern F.3.6.M,,,,<10
Inselspital Bern F.3.7.M,0,0.021,0,11
Inselspital Bern F.3.8.F,,,,17
Inselspital Bern F.3.9.F,,,,51
Inselspital Bern F.4 Amputationen, , , , 
Inselspital Bern F.4.1.M,0.013,0.014,0.9,75
Inselspital Bern F.4.2.M,0.083,0.095,0.9,24
Inselspital Bern G Geburtshilfe und Frauenheilkunde, , , , 
Inselspital Bern G.1 Geburten, , , , 
Inselspital Bern G.1.1.F,,,,1'284
Inselspital Bern G.1.1.P,0,0,,0
Inselspital Bern G.1.2.P,0.035,0.028,,27
Inselspital Bern G.1.3.P,0.218,0.291,,169
Inselspital Bern G.1.4.P,0.395,0.328,,507
Inselspital Bern G.2 Neugeborene, , , , 
Inselspital Bern G.2.1.F,,,,...
Inselspital Bern G.2.2.F,,,,...
Inselspital Bern G.2.3.F,,,,...
Inselspital Bern G.2.4.F,,,,...
Inselspital Bern G.2.5.F,,,,...
Inselspital Bern G.2.6.F,,,,...
Inselspital Bern G.2.7.F,,,,...
Inselspital Bern G.2.8.F,,,,...
Inselspital Bern G.2.9.F,,,,...
Inselspital Bern G.3 Entfernung der Geb‰rmutter bei gutartigen Erkrankungen (Hysterektomie), , , , 
Inselspital Bern G.3.1.M,0,0,,76
Inselspital Bern G.3.2.P,0.824,0.707,,61
Inselspital Bern G.4 Brustkrebs, , , , 
Inselspital Bern G.4.1.F,,,,137
Inselspital Bern G.5 Eingriffe an der Brust, , , , 
Inselspital Bern G.5.1.F,,,,198
Inselspital Bern G.5.2.F,,,,90
Inselspital Bern G.5.3.P,0.733,0.647,,66
Inselspital Bern H Erkrankungen der Harnwege und der m‰nnlichen Geschlechtsorgane, , , , 
Inselspital Bern H.1 Entfernung der Niere (Nephrektomie), , , , 
Inselspital Bern H.1.1.M,0,0.01,0,65
Inselspital Bern H.1.2.P,,,,<10
Inselspital Bern H.1.3.P Anteil partielle Nephrektomie,0.309,0.22,,29
Inselspital Bern H.1.3.M,0,0.006,0,29
Inselspital Bern H.1.4.P,,,,<10
Inselspital Bern H.2 Nierensteine, , , , 
Inselspital Bern H.2.1.F,,,,649
Inselspital Bern H.2.2.P,0.741,0.43,,481
Inselspital Bern H.3 Eingriffe an der Harnblase, , , , 
Inselspital Bern H.3.1.F,,,,187
Inselspital Bern H.3.2.F,,,,158
Inselspital Bern H.3.3.F,,,,90
Inselspital Bern H.3.4.P,...,...,,...
Inselspital Bern H.3.5.M,0.012,0.02,0.6,83
Inselspital Bern H.4 Entfernung der Prostata durch Abtragung ¸ber die Harnrˆhre (Prostata≠TUR), , , , 
Inselspital Bern H.4.1.M,0,0.002,0,171
Inselspital Bern H.5 Prostatakarzinom, , , , 
Inselspital Bern H.5.1.F,,,,378
Inselspital Bern H.5.2.M,0,0.001,0,45
Inselspital Bern I Orthop‰dische und unfallchirurgische Krankheitsbilder, , , , 
Inselspital Bern I.1 Gelenkersatz Totalendoprothese (TEP), , , , 
Inselspital Bern I.1.1.M,0,0.001,0,104
Inselspital Bern I.1.2.M,0,0.009,0,35
Inselspital Bern I.1.3.M,0,0,0,82
Inselspital Bern I.1.4.M,0,0.008,0,13
Inselspital Bern I.1.5.M,,,,0
Inselspital Bern I.2 Operationen an der Wirbels‰ule, , , , 
Inselspital Bern I.2.1.F,,,,1'192
Inselspital Bern I.2.2.M,0,0,0,293
Inselspital Bern I.3 H¸ftgelenknahe Frakturen, , , , 
Inselspital Bern I.3.1.M,0.031,0.036,0.9,32
Inselspital Bern I.3.2.M,,,,<10
Inselspital Bern I.3.3.M,,,,<10
Inselspital Bern I.3.4.M,,,,<10
Inselspital Bern I.3.5.M,,,,<10
Inselspital Bern I.3.6.M,,,,<10
Inselspital Bern I.3.7.M,,,,<10
Inselspital Bern I.3.8.M,0.077,0.035,2.2,26
Inselspital Bern J Komplexe heterogene Krankheitsbilder (Tracer f¸r Peer Review), , , , 
Inselspital Bern J.1 Beatmung, , , , 
Inselspital Bern J.1.1.M,0.245,0.284,0.9,216
Inselspital Bern J.2 Sepsis, , , , 
Inselspital Bern J.2.1.M,0.164,0.148,1.1,110
institution indicator,taux observE 2008,taux attendu 2008,SMR 2008,nombre de cas 2008
Centre Hospitalier Universitaire Vaudois (CHUV) A Maladies cardiaques, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.1 Infarctus du myocarde, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.1.M,0.082,0.072,1.1,534
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.2.M,0.088,0.01,8.6,34
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.3.M,0.035,0.026,1.3,202
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.4.M,0.059,0.076,0.8,236
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.5.M,0.323,0.236,1.4,62
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.6.P,0.86,0.515,,459
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.7.M,0.135,0.109,1.2,245
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.8.M,0.057,0.036,1.6,194
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.9.P,0.025,0.071,,13
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.10.M,0.076,0.076,1,343
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.11.M,0.07,0.051,1.4,172
Centre Hospitalier Universitaire Vaudois (CHUV) A.2 Insuffisance cardiaque, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.1.M,0.062,0.089,0.7,435
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.2.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.3.M,0.02,0.038,0.5,51
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.4.M,0.048,0.078,0.6,248
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.5.M,0.092,0.13,0.7,131
Centre Hospitalier Universitaire Vaudois (CHUV) A.3 CathEtErisme cardiaque gauche (CCG), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.1.F,,,,1'566
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.2.M,0.037,0.036,1,428
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (‚ge >19) mortalitE,0.102,0.063,1.6,147
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.4.M,0.012,0.005,2.3,828
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.5.P,0.354,0.382,,293
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.6.F,,,,48
Centre Hospitalier Universitaire Vaudois (CHUV) A.4 Troubles du rythme cardiaque, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.4.1.F,,,,507
Centre Hospitalier Universitaire Vaudois (CHUV) A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.5.1.F,,,,244
Centre Hospitalier Universitaire Vaudois (CHUV) A.5.2.F,,,,78
Centre Hospitalier Universitaire Vaudois (CHUV) A.6 Traitement par ablation, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.6.1.F,,,,211
Centre Hospitalier Universitaire Vaudois (CHUV) A.6.2.F,,,,27
Centre Hospitalier Universitaire Vaudois (CHUV) A.7 OpErations du cúur, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.1.F,,,,531
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.2.F,,,,246
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.3.F,,,,177
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.4.F,,,,219
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.5.F,,,,100
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.6.F,,,,77
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.7.M,0.048,0.028,1.7,105
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.11.M,0.045,0.031,1.5,22
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.12.M,0.019,0.015,1.3,104
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.13.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.14.M,0,0.005,0,23
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.15.M,0,0.01,0,39
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.16.M,0.031,0.019,1.6,32
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.17.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.18.P,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.1.M,0.149,0.119,1.3,576
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.2.M,0.087,0.071,1.2,46
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.3.M,0.105,0.06,1.7,153
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.4.M,0.145,0.121,1.2,290
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.5.M,0.276,0.243,1.1,87
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.6.P,...,...,,...
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.7.M,0.084,0.078,1.1,428
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.8.M,0.089,0.082,1.1,381
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.9.P,0.068,0.078,,29
