hospital_indicator,observed_rate_2011,expected_rate_2011,SMR_2011,number_of_cases_2011
HUG H.1 Ablation du rein (nEphrectomie et nEphrectomie partielle), , , , 
HUG H.1.1.M,0.018,0.008,2.2,57
HUG H.1.2.P,0.404,0.248,,23
"HUG H.1.3.P NEphrectomie partielle, pourcentage",0.149,0.256,,10
HUG H.1.3.M,0,0.004,0,10
HUG H.1.4.P,,,,<10
HUG H.2 Calculs rEnaux, , , , 
HUG H.2.1.F,,,,219
HUG H.2.2.P,0.502,0.429,,110
HUG H.3 OpErations de la vessie, , , , 
HUG H.3.1.F,,,,238
HUG H.3.2.F,,,,198
HUG H.3.3.F,,,,151
HUG H.3.4.P,0.278,0.104,,42
HUG H.3.5.M,0,0.024,0,21
HUG H.4 REsection prostatique transurEtrale (TURP), , , , 
HUG H.4.1.M,0,0.002,0,196
HUG H.5 Carcinome de la prostate, , , , 
HUG H.5.1.F,,,,309
HUG H.5.2.M,0,0.001,0,55
HUG I Affections orthopEdiques et traumatologiques, , , , 
"HUG I.1 Remplacement de l'articulation, endoprothËse totale (EPT)", , , , 
HUG I.1.1.M,0.003,0.002,1.6,358
HUG I.1.2.M,0,0.01,0,45
HUG I.1.3.M,0,0.001,0,289
HUG I.1.4.M,0,0,0,20
HUG I.1.5.M,,,,0
HUG I.2 OpErations de la colonne vertEbrale, , , , 
HUG I.2.1.F,,,,642
HUG I.2.2.M,0,0,0,267
HUG I.3 Fractures mEtaphysaires de la hanche, , , , 
HUG I.3.1.M,0.021,0.034,0.6,326
HUG I.3.2.M,0,0,,32
HUG I.3.3.M,0,0.007,0,41
HUG I.3.4.M,0,0.015,0,68
HUG I.3.5.M,0.039,0.033,1.2,51
HUG I.3.6.M,0.026,0.052,0.5,76
HUG I.3.7.M,0.052,0.072,0.7,58
HUG I.3.8.M,0.015,0.036,0.4,268
"HUG J Affections complexes, hEtErogËnes (indicateur pour peer review)", , , , 
HUG J.1 Respiration artificielle, , , , 
HUG J.1.1.M,0.206,0.26,0.8,345
HUG J.2 Etats septiques, , , , 
HUG J.2.1.M,0.172,0.153,1.1,542
institution indicator,taux observE 2011,taux attendu 2011,SMR 2011,nombre de cas 2011
Centre Hospitalier Universitaire Vaudois (CHUV) A Maladies cardiaques, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.1 Infarctus du myocarde, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.1.M,0.045,0.061,0.7,686
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.2.M,0.051,0.012,4.3,39
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.3.M,0.016,0.017,0.9,248
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.4.M,0.04,0.063,0.6,299
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.5.M,0.13,0.187,0.7,100
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.6.P,0.829,0.557,,569
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.7.M,0.089,0.085,1,327
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.8.M,0.009,0.029,0.3,222
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.9.P,0.02,0.036,,14
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.10.M,0.061,0.066,0.9,293
Centre Hospitalier Universitaire Vaudois (CHUV) A.1.11.M,0.016,0.044,0.4,376
Centre Hospitalier Universitaire Vaudois (CHUV) A.2 Insuffisance cardiaque, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.1.M,0.074,0.083,0.9,551
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.2.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.3.M,0.041,0.026,1.6,74
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.4.M,0.045,0.07,0.6,267
Centre Hospitalier Universitaire Vaudois (CHUV) A.2.5.M,0.127,0.122,1,204
Centre Hospitalier Universitaire Vaudois (CHUV) A.3 CathEtErisme cardiaque gauche (CCG), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.1.F,,,,1'562
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.2.M,0.015,0.031,0.5,538
"Centre Hospitalier Universitaire Vaudois (CHUV) A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (‚ge >19), mortalitE",0.129,0.105,1.2,139
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.4.M,0.005,0.005,1.1,734
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.5.P,0.322,0.387,,236
Centre Hospitalier Universitaire Vaudois (CHUV) A.3.6.F,,,,46
Centre Hospitalier Universitaire Vaudois (CHUV) A.4 Troubles du rythme cardiaque, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.4.1.F,,,,587
Centre Hospitalier Universitaire Vaudois (CHUV) A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.5.1.F,,,,252
Centre Hospitalier Universitaire Vaudois (CHUV) A.5.2.F,,,,96
Centre Hospitalier Universitaire Vaudois (CHUV) A.6 Traitement par ablation, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.6.1.F,,,,237
Centre Hospitalier Universitaire Vaudois (CHUV) A.6.2.F,,,,57
Centre Hospitalier Universitaire Vaudois (CHUV) A.7 OpErations du cúur, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.1.F,,,,570
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.2.F,,,,274
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.3.F,,,,221
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.4.F,,,,214
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.5.F,,,,122
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.6.F,,,,77
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.7.M,0.029,0.03,0.9,104
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.8.M,0.25,0.069,3.6,12
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.9.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.10.M,0.2,0.121,1.7,10
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.11.M,0,0.068,0,26
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.12.M,0.03,0.016,1.9,134
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.13.M,0.1,0.028,3.5,10
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.14.M,0,0.009,0,26
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.15.M,0,0.006,0,47
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.16.M,0.079,0.026,3,38
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.17.M,0,0.023,0,13
Centre Hospitalier Universitaire Vaudois (CHUV) A.7.18.P,0.082,0.03,,11
Centre Hospitalier Universitaire Vaudois (CHUV) B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.1.M,0.108,0.096,1.1,638
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.2.M,0.093,0.035,2.6,43
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.3.M,0.088,0.052,1.7,216
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.4.M,0.12,0.097,1.2,251
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.5.M,0.125,0.188,0.7,128
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.6.P,0.442,0.109,,282
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.7.M,0.059,0.063,0.9,473
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.8.M,0.065,0.066,1,382
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.9.P,0.186,0.108,,88
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.9.M,0.068,0.085,0.8,88
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.10.M,0.243,0.228,1.1,103
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.11.M,0.276,0.157,1.8,58
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.12.P,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) B.1.12.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) B.2 Accident ischEmique transitoire (AIT), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) B.2.1.M,0,0.003,0,146
Centre Hospitalier Universitaire Vaudois (CHUV) B.2.2.P,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) C REEducation gEriatrique prEcoce, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) C.1 REEducation gEriatrique prEcoce, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) C.1.1.F,,,,0
Centre Hospitalier Universitaire Vaudois (CHUV) C.1.2.P,,,,0
Centre Hospitalier Universitaire Vaudois (CHUV) C.1.3.S,,,,0
Centre Hospitalier Universitaire Vaudois (CHUV) D Maladies pulmonaires, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) D.1 Pneumonie, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.1.M,0.055,0.054,1,685
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.2.M,0,0.003,0,123
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.3.M,0,0.005,0,55
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.4.M,0.022,0.029,0.8,89
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.5.M,0.068,0.062,1.1,280
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.6.M,0.123,0.117,1,138
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.7.M,0,0.004,0,103
Centre Hospitalier Universitaire Vaudois (CHUV) D.1.8.M,0.054,0.053,1,425
Centre Hospitalier Universitaire Vaudois (CHUV) D.2 Broncho-pneumopathie chronique obstructive (BPCO), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.1.M,0.021,0.036,0.6,189
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.2.M,0,0.04,0,48
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.3.M,0.025,0.024,1,40
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.4.M,0.037,0.015,2.5,27
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.5.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.6.P,0.36,0.369,,68
Centre Hospitalier Universitaire Vaudois (CHUV) D.2.6.M,0.029,0.036,0.8,68
Centre Hospitalier Universitaire Vaudois (CHUV) D.3 Cancer du poumon (carcinome bronchique), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) D.3.1.F,,,,722
Centre Hospitalier Universitaire Vaudois (CHUV) D.4 OpErations du poumon, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) D.4.1.M,0.033,0.023,1.4,211
Centre Hospitalier Universitaire Vaudois (CHUV) D.4.2.P,0.153,0.099,,17
Centre Hospitalier Universitaire Vaudois (CHUV) D.4.2.M,0,0.07,0,17
Centre Hospitalier Universitaire Vaudois (CHUV) D.4.3.M,0.011,0.021,0.5,94
Centre Hospitalier Universitaire Vaudois (CHUV) D.4.4.P,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) E OpErations des organes abdominaux et de la thyroÔde (chirurgie viscErale), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.1.1.M,0,0.002,0,192
Centre Hospitalier Universitaire Vaudois (CHUV) E.1.2.P,0.979,0.935,,188
Centre Hospitalier Universitaire Vaudois (CHUV) E.2 REparations de hernie, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.2.1.M,0,0.001,0,194
Centre Hospitalier Universitaire Vaudois (CHUV) E.2.2.M,0.067,0.106,0.6,15
Centre Hospitalier Universitaire Vaudois (CHUV) E.3 OpErations de la thyroÔde, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.3.1.F,,,,66
Centre Hospitalier Universitaire Vaudois (CHUV) E.3.2.P,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) E.3.3.F,,,,60
Centre Hospitalier Universitaire Vaudois (CHUV) E.4 OpErations majeures du cÙlon et du rectum (opErations colorectales), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.1.M,0.075,0.056,1.3,214
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.2.M,0,0.037,0,51
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.3.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.4.M,0,0.02,0,45
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.5.M,0,0.003,0,11
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.6.M,0.19,0.101,1.9,21
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.7.M,0.5,0.434,1.2,14
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.8.F,,,,66
Centre Hospitalier Universitaire Vaudois (CHUV) E.4.9.F Interventions colorectales locales pour cancer colorectal,,,,14
"Centre Hospitalier Universitaire Vaudois (CHUV) E.4.10.F Interventions colorectales locales, affection autre que cancer colorectal",,,,145
Centre Hospitalier Universitaire Vaudois (CHUV) E.5 OpErations de l'estomac, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.5.1.F,,,,32
Centre Hospitalier Universitaire Vaudois (CHUV) E.5.2.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) E.5.3.M,0.062,0.042,1.5,16
Centre Hospitalier Universitaire Vaudois (CHUV) E.6 OpErations de líúsophage, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.6.1.M,0.031,0.051,0.6,32
Centre Hospitalier Universitaire Vaudois (CHUV) E.7 OpErations du pancrEas, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) E.7.1.M,0.037,0.062,0.6,54
Centre Hospitalier Universitaire Vaudois (CHUV) F OpErations de vaisseaux, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) F.1 OpErations des vaisseaux extra≠cr‚niens, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) F.1.1.M,0,0.006,0,52
Centre Hospitalier Universitaire Vaudois (CHUV) F.1.2.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) F.1.3.F,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) F.2 OpErations en cas de dilatation de l'aorte (anEvrisme de l'aorte), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) F.2.1.F,,,,126
Centre Hospitalier Universitaire Vaudois (CHUV) F.2.2.M,0.062,0.045,1.4,16
Centre Hospitalier Universitaire Vaudois (CHUV) F.2.3.M,0.029,0.017,1.7,35
Centre Hospitalier Universitaire Vaudois (CHUV) F.2.4.F,,,,65
Centre Hospitalier Universitaire Vaudois (CHUV) F.2.5.M,0.333,0.385,0.9,24
Centre Hospitalier Universitaire Vaudois (CHUV) F.3 OpErations des artËres du bassin et des jambes, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.1.F,,,,226
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.2.M,0.013,0.003,3.8,75
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.3.M,0,0,,11
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.4.M,0.083,0.039,2.1,24
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.5.M,0.02,0.061,0.3,51
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.6.M,0,0.016,0,10
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.7.M,0.077,0.009,8.7,13
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.8.F,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) F.3.9.F,,,,34
Centre Hospitalier Universitaire Vaudois (CHUV) F.4 Amputations, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) F.4.1.M,0.027,0.023,1.2,75
Centre Hospitalier Universitaire Vaudois (CHUV) F.4.2.M,0.167,0.125,1.3,30
Centre Hospitalier Universitaire Vaudois (CHUV) F.5 Angioplasties transluminales percutanEes (ATP), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) F.5.1.F,,,,303
Centre Hospitalier Universitaire Vaudois (CHUV) F.5.2.F,,,,58
Centre Hospitalier Universitaire Vaudois (CHUV) F.5.3.F,,,,13
Centre Hospitalier Universitaire Vaudois (CHUV) G GynEcologie et obstEtrique, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) G.1 Accouchements, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) G.1.1.F,,,,2'539
Centre Hospitalier Universitaire Vaudois (CHUV) G.1.1.P,0,0,,0
Centre Hospitalier Universitaire Vaudois (CHUV) G.1.2.P,0.026,0.031,,44
Centre Hospitalier Universitaire Vaudois (CHUV) G.1.3.P,0.255,0.264,,430
Centre Hospitalier Universitaire Vaudois (CHUV) G.1.4.P,0.337,0.33,,855
Centre Hospitalier Universitaire Vaudois (CHUV) G.2 Nouveau≠nEs, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) G.2.1.F,,,,102
Centre Hospitalier Universitaire Vaudois (CHUV) G.2.2.F,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) G.2.3.F,,,,11
Centre Hospitalier Universitaire Vaudois (CHUV) G.2.4.F,,,,29
Centre Hospitalier Universitaire Vaudois (CHUV) G.2.5.F,,,,32
Centre Hospitalier Universitaire Vaudois (CHUV) G.2.6.F,,,,30
Centre Hospitalier Universitaire Vaudois (CHUV) G.2.7.F,,,,44
Centre Hospitalier Universitaire Vaudois (CHUV) G.2.8.F,,,,371
Centre Hospitalier Universitaire Vaudois (CHUV) G.2.9.F,,,,2'497
Centre Hospitalier Universitaire Vaudois (CHUV) G.3 Ablation de líutErus pour affections bEnignes (hystErectomie), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) G.3.1.M,0,0,0,163
Centre Hospitalier Universitaire Vaudois (CHUV) G.3.2.P,0.7,0.743,,112
Centre Hospitalier Universitaire Vaudois (CHUV) G.4 Cancer du sein, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) G.4.1.F,,,,527
Centre Hospitalier Universitaire Vaudois (CHUV) G.5 Interventions du sein, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) G.5.1.F,,,,480
Centre Hospitalier Universitaire Vaudois (CHUV) G.5.2.F,,,,220
Centre Hospitalier Universitaire Vaudois (CHUV) G.5.3.P,0.6,0.714,,132
Centre Hospitalier Universitaire Vaudois (CHUV) H Maladies des voies urinaires et des organes gEnitaux masculins, , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) H.1 Ablation du rein (nEphrectomie et nEphrectomie partielle), , , , 
Centre Hospitalier Universitaire Vaudois (CHUV) H.1.1.M,0,0.006,0,84
Centre Hospitalier Universitaire Vaudois (CHUV) H.1.2.P,0.25,0.248,,21
"Centre Hospitalier Universitaire Vaudois (CHUV) H.1.3.P NEphrectomie partielle, pourcentage",,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) H.1.3.M,,,,<10
Centre Hospitalier Universitaire Vaudois (CHUV) H.1.4.P,0,0.272,,0
